true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,3384,2,0,0,1,2513,1,0,605,0,0,0,1,6,1
1,0,467,1,0,2,0,0,0,0,0,0,0,2,0,0
2,0,0,1175,1,24,0,0,0,0,0,0,0,18,0,0
3,5,18,19,0,1005,0,6,2,0,0,0,0,9,0,0
4,4,0,82,0,2604,1,6,2,0,0,0,0,4,0,0
5,1,159,658,0,860,2,7,2,0,0,0,0,5,0,0
6,0,0,0,6,6,1,804,6,0,0,0,0,3,0,0
7,2,0,0,281,0,0,20,359,0,0,1,0,0,1,0
8,9,0,1,0,5,0,2,2,1,0,13,3,0,0,0
9,3,1,1,0,0,3,0,0,0,23,4,1,0,0,0
10,3,0,1,0,1,4,0,0,0,0,580,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,113,0,1,0
12,10,3,20,9,34,34,9,1,1,0,0,0,595,0,1
13,1,0,1,0,0,1,0,5,1,1,1,0,0,1849,2
14,0,0,0,0,2,1,1,0,0,0,1,0,0,0,150
