true,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2513,0,1,0,2,6,1,3384,0,1,0,1,0,605,0
1,0,0,2,0,467,0,0,0,0,0,0,2,1,0,0
2,0,0,24,0,0,0,0,0,0,0,1,18,1175,0,0
3,0,0,1005,0,18,0,6,5,2,0,0,9,19,0,0
4,1,0,2604,0,0,0,6,4,2,0,0,4,82,0,0
5,2,0,860,0,159,0,7,1,2,0,0,5,658,0,0
6,1,0,6,0,0,0,804,0,6,0,6,3,0,0,0
7,0,0,0,1,0,1,20,2,359,0,281,0,0,0,0
8,0,3,5,13,0,0,2,9,2,0,0,0,1,1,0
9,3,1,0,4,1,0,0,3,0,0,0,0,1,0,23
10,4,0,1,580,0,0,0,3,0,0,0,0,1,0,0
11,0,113,0,0,0,1,0,0,0,0,0,0,0,0,0
12,34,0,34,0,3,0,9,10,1,1,9,595,20,1,0
13,1,0,0,1,0,1849,0,1,5,2,0,0,1,1,1
14,1,0,2,1,0,0,1,0,0,150,0,0,0,0,0
