dataset,cluster_method,E_minus_D_ari_mean,E_minus_D_ari_std,E_better_than_D_seed_count,E_minus_D_nmi_mean,E_minus_D_nmi_std,E_better_than_D_seed_count_nmi
Limb_Muscle,kmeans_known_k,0.1079433765283706,0.17754827560412126,2,0.11151850206856116,0.07855601368662377,3
Limb_Muscle,leiden_fixed,0.03690439854129627,0.029856600824403282,3,0.0725693820295083,0.05140759133323619,3
Quake_10x_Spleen,kmeans_known_k,0.06323696288169292,0.21133428209212782,2,0.07263501873937356,0.2738607647033183,1
Quake_10x_Spleen,leiden_fixed,0.002019822869504711,0.015030341718267354,1,0.0028940846727740868,0.15245720158520426,1
Guo,kmeans_known_k,0.02189300688283415,0.08896034323054723,2,0.04832955480039158,0.06462788904395132,3
Guo,leiden_fixed,-0.03329040912194528,0.011439565715025062,0,-0.03686563611933347,0.02149705290220613,0
Macosko,kmeans_known_k,-0.05324011242018761,0.04484707667737306,0,-0.08182035343050975,0.04898839964042711,0
Macosko,leiden_fixed,-0.00583516349052636,0.014427511728060964,2,-0.07988077452377142,0.03699262267607818,0
Tosches,kmeans_known_k,0.0491746755798634,0.08470501128319297,2,0.03853112449767693,0.04880379268282917,2
Tosches,leiden_fixed,-0.004861196172998729,0.007303926989153812,1,-0.014319326927227483,0.03066739460809262,1
Young,kmeans_known_k,0.036012830245899796,0.03832318314647088,2,0.0001527348824038414,0.03990386668618735,1
Young,leiden_fixed,0.0019086783449793604,0.02244218942308441,2,-0.0011707285852555205,0.0458023772570258,1
