dataset,cluster_method,A_random_student_ARI_mean_std,A_random_student_NMI_mean_std,B_vicreg_ARI_mean_std,B_vicreg_NMI_mean_std,C_ema_teacher_ARI_mean_std,C_ema_teacher_NMI_mean_std,D_proto_ARI_mean_std,D_proto_NMI_mean_std,E_full_generator_ARI_mean_std,E_full_generator_NMI_mean_std
Limb_Muscle,kmeans_known_k,0.638 ± 0.060,0.580 ± 0.031,0.545 ± 0.114,0.545 ± 0.050,0.495 ± 0.030,0.555 ± 0.068,0.448 ± 0.128,0.484 ± 0.031,0.555 ± 0.072,0.596 ± 0.062
Limb_Muscle,leiden_fixed,0.139 ± 0.010,0.464 ± 0.012,0.123 ± 0.028,0.426 ± 0.032,0.130 ± 0.019,0.456 ± 0.033,0.115 ± 0.032,0.413 ± 0.045,0.152 ± 0.007,0.486 ± 0.013
Quake_10x_Spleen,kmeans_known_k,0.075 ± 0.053,0.071 ± 0.050,0.316 ± 0.051,0.438 ± 0.035,0.073 ± 0.122,0.120 ± 0.101,0.262 ± 0.301,0.263 ± 0.220,0.325 ± 0.211,0.336 ± 0.208
Quake_10x_Spleen,leiden_fixed,0.008 ± 0.006,0.098 ± 0.058,0.023 ± 0.006,0.242 ± 0.019,0.006 ± 0.003,0.074 ± 0.029,0.016 ± 0.010,0.168 ± 0.086,0.018 ± 0.013,0.171 ± 0.100
Guo,kmeans_known_k,0.117 ± 0.090,0.338 ± 0.156,0.163 ± 0.100,0.352 ± 0.193,0.223 ± 0.045,0.408 ± 0.042,0.152 ± 0.039,0.379 ± 0.006,0.174 ± 0.061,0.427 ± 0.069
Guo,leiden_fixed,0.061 ± 0.046,0.287 ± 0.139,0.082 ± 0.065,0.312 ± 0.178,0.130 ± 0.027,0.417 ± 0.061,0.124 ± 0.025,0.409 ± 0.039,0.091 ± 0.022,0.372 ± 0.050
Macosko,kmeans_known_k,0.268 ± 0.103,0.335 ± 0.032,0.103 ± 0.030,0.141 ± 0.009,0.314 ± 0.106,0.243 ± 0.047,0.329 ± 0.071,0.219 ± 0.065,0.275 ± 0.040,0.138 ± 0.028
Macosko,leiden_fixed,0.026 ± 0.007,0.264 ± 0.022,0.020 ± 0.008,0.212 ± 0.045,0.035 ± 0.008,0.247 ± 0.012,0.034 ± 0.007,0.252 ± 0.028,0.029 ± 0.008,0.172 ± 0.016
Tosches,kmeans_known_k,0.458 ± 0.139,0.412 ± 0.022,0.305 ± 0.171,0.371 ± 0.092,0.334 ± 0.059,0.450 ± 0.003,0.345 ± 0.034,0.432 ± 0.022,0.394 ± 0.058,0.471 ± 0.027
Tosches,leiden_fixed,0.087 ± 0.017,0.385 ± 0.039,0.098 ± 0.018,0.384 ± 0.047,0.121 ± 0.003,0.439 ± 0.005,0.127 ± 0.003,0.422 ± 0.018,0.122 ± 0.010,0.408 ± 0.015
Young,kmeans_known_k,0.097 ± 0.035,0.147 ± 0.023,0.088 ± 0.026,0.136 ± 0.020,0.087 ± 0.008,0.140 ± 0.010,0.133 ± 0.028,0.172 ± 0.040,0.169 ± 0.046,0.172 ± 0.036
Young,leiden_fixed,0.018 ± 0.008,0.126 ± 0.017,0.015 ± 0.005,0.124 ± 0.018,0.020 ± 0.005,0.128 ± 0.004,0.030 ± 0.022,0.147 ± 0.048,0.032 ± 0.004,0.146 ± 0.029
