dataset,cluster_method,A_random_student_ARI_mean_std,B_vicreg_ARI_mean_std,C_ema_teacher_ARI_mean_std,D_proto_ARI_mean_std,E_full_generator_ARI_mean_std
Limb_Muscle,kmeans_known_k,0.638 ± 0.060,0.545 ± 0.114,0.495 ± 0.030,0.448 ± 0.128,0.555 ± 0.072
Limb_Muscle,leiden_fixed,0.139 ± 0.010,0.123 ± 0.028,0.130 ± 0.019,0.115 ± 0.032,0.152 ± 0.007
Quake_10x_Spleen,kmeans_known_k,0.075 ± 0.053,0.316 ± 0.051,0.073 ± 0.122,0.262 ± 0.301,0.325 ± 0.211
Quake_10x_Spleen,leiden_fixed,0.008 ± 0.006,0.023 ± 0.006,0.006 ± 0.003,0.016 ± 0.010,0.018 ± 0.013
Guo,kmeans_known_k,0.117 ± 0.090,0.163 ± 0.100,0.223 ± 0.045,0.152 ± 0.039,0.174 ± 0.061
Guo,leiden_fixed,0.061 ± 0.046,0.082 ± 0.065,0.130 ± 0.027,0.124 ± 0.025,0.091 ± 0.022
Macosko,kmeans_known_k,0.268 ± 0.103,0.103 ± 0.030,0.314 ± 0.106,0.329 ± 0.071,0.275 ± 0.040
Macosko,leiden_fixed,0.026 ± 0.007,0.020 ± 0.008,0.035 ± 0.008,0.034 ± 0.007,0.029 ± 0.008
Tosches,kmeans_known_k,0.458 ± 0.139,0.305 ± 0.171,0.334 ± 0.059,0.345 ± 0.034,0.394 ± 0.058
Tosches,leiden_fixed,0.087 ± 0.017,0.098 ± 0.018,0.121 ± 0.003,0.127 ± 0.003,0.122 ± 0.010
Young,kmeans_known_k,0.097 ± 0.035,0.088 ± 0.026,0.087 ± 0.008,0.133 ± 0.028,0.169 ± 0.046
Young,leiden_fixed,0.018 ± 0.008,0.015 ± 0.005,0.020 ± 0.005,0.030 ± 0.022,0.032 ± 0.004
