run,head,selection,resolution,n_cells,dim,known_k,n_pred,ari,nmi,acc,silhouette
Macosko__zero__seed42,kmeans_known_k,known_k,,44808,128,12,12,0.6960454782245903,0.6459277366315872,0.7493527941439029,0.785230815410614
Macosko__zero__seed42,gmm_known_k,known_k,,44808,128,12,12,0.3981797047109992,0.576346277807533,0.5453713622567399,0.43468573689460754
Macosko__zero__seed42,leiden,silhouette,0.02,44808,128,12,6,0.7800730817738826,0.6997123451075624,0.8743527941439029,0.7987385392189026
Macosko__zero__seed42,leiden,ARI_ORACLE_leak,0.02,44808,128,12,6,0.7800730817738826,0.6997123451075624,0.8743527941439029,0.7987385392189026
Macosko__swap_lib__seed42,kmeans_known_k,known_k,,44808,128,12,12,0.8703331180948335,0.731379860657753,0.8263702910194608,0.895973801612854
Macosko__swap_lib__seed42,gmm_known_k,known_k,,44808,128,12,12,0.47437744010397875,0.6213836355609854,0.5842260310658811,0.43776610493659973
Macosko__swap_lib__seed42,leiden,silhouette,0.02,44808,128,12,6,0.8939371986806703,0.8065028257285765,0.9405686484556329,0.8614513874053955
Macosko__swap_lib__seed42,leiden,ARI_ORACLE_leak,0.02,44808,128,12,6,0.8939371986806703,0.8065028257285765,0.9405686484556329,0.8614513874053955
Macosko__swap_global__seed42,kmeans_known_k,known_k,,44808,128,12,12,0.2966665229544628,0.5543283604233002,0.5209560792715586,0.6460494995117188
Macosko__swap_global__seed42,gmm_known_k,known_k,,44808,128,12,12,0.24495344449979198,0.5283759362937092,0.43195411533654704,0.553842306137085
Macosko__swap_global__seed42,leiden,silhouette,0.02,44808,128,12,7,0.3485374440552514,0.5934292548641598,0.5981297982503124,0.6448559761047363
Macosko__swap_global__seed42,leiden,ARI_ORACLE_leak,0.02,44808,128,12,7,0.3485374440552514,0.5934292548641598,0.5981297982503124,0.6448559761047363
Macosko__swap_ndet__seed42,kmeans_known_k,known_k,,44808,128,12,12,0.8644734246649274,0.7266905726251826,0.8256114979467952,0.8945934772491455
Macosko__swap_ndet__seed42,gmm_known_k,known_k,,44808,128,12,12,0.48140727163124414,0.614700146620665,0.5982860203535083,0.4712202250957489
Macosko__swap_ndet__seed42,leiden,silhouette,0.02,44808,128,12,6,0.8894595172282493,0.8024913318873508,0.9403677914658096,0.8613408207893372
Macosko__swap_ndet__seed42,leiden,ARI_ORACLE_leak,0.02,44808,128,12,6,0.8894595172282493,0.8024913318873508,0.9403677914658096,0.8613408207893372
