run,dataset,corruption,seed,ari,nmi,acc,effective_dim_pr,cluster_aligned_eff_dim,mean_effective_change_rate,donor_pool_mean,donor_pool_min,n_bins,final_scmae_loss,runtime_seconds
Macosko__swap_global__seed42,Macosko,swap_global,42,0.2966665229544628,0.5543283604233002,0.5209560792715586,126.51294210441276,2.7298327117840824,0.023720520089285713,44808.0,44808.0,1,0.4469230840887342,365.4141061306
Macosko__swap_global__seed43,Macosko,swap_global,43,0.26564753859024787,0.5434092322737915,0.4909837529012676,126.80560841657604,2.7073754275758564,0.023723200892857142,44808.0,44808.0,1,0.44691744003977096,331.98741722106934
Macosko__swap_global__seed44,Macosko,swap_global,44,0.33361879250252663,0.5679788325146039,0.5310881985359757,125.54732438184345,2.7055761361437254,0.023718849609375,44808.0,44808.0,1,0.44693691866738455,364.8430504798889
Macosko__swap_lib__seed42,Macosko,swap_lib,42,0.8703331180948335,0.731379860657753,0.8263702910194608,127.75821581836894,1.9399883192086753,0.023105139787946427,4480.8,4480.0,10,0.4469025358131954,380.1323781013489
Macosko__swap_lib__seed43,Macosko,swap_lib,43,0.865758277284149,0.7532595662027951,0.862814675950723,125.94872898847048,2.5769929344349105,0.023105607421875,4480.8,4480.0,10,0.44692506449563163,392.49513244628906
Macosko__swap_lib__seed44,Macosko,swap_lib,44,0.8654008526610468,0.7554100316291353,0.8615202642385288,125.98867239266572,2.685228462400855,0.0231048046875,4480.8,4480.0,10,0.44697610889162337,332.31101989746094
Macosko__swap_ndet__seed42,Macosko,swap_ndet,42,0.8645309391292259,0.7267328514115813,0.8256338153901089,127.78698662784394,1.9744283885090597,0.02308840457589286,4480.8,4480.0,10,0.4469067873273577,345.8055000305176
Macosko__swap_ndet__seed43,Macosko,swap_ndet,43,0.8650394621506845,0.7250897603080281,0.8255445456168541,116.1577895089256,2.2324059513322685,0.023091961495535718,4480.8,4480.0,10,0.4469086352416447,366.8717384338379
Macosko__swap_ndet__seed44,Macosko,swap_ndet,44,0.8623789190821048,0.7252073579851932,0.8277539725049098,122.87558885475788,1.8692663106074827,0.023086829520089284,4480.8,4480.0,10,0.4469241874558585,360.9535195827484
Macosko__swap_zerolib__seed42,Macosko,swap_zerolib,42,0.8664445585436601,0.7365100316133042,0.8247411176575612,127.73223005916681,1.8890265800042505,0.022975806640625002,1948.1739130434783,2.0,23,0.4468915273462023,344.1979489326477
Macosko__swap_zerolib__seed43,Macosko,swap_zerolib,43,0.5503453462089724,0.6334554645959538,0.707262096054276,125.95706684385603,2.9115881454388477,0.022975606305803573,1948.1739130434783,2.0,23,0.4468856431756701,345.90925765037537
Macosko__swap_zerolib__seed44,Macosko,swap_zerolib,44,0.8589543343473173,0.7275419305941523,0.8221969291198,127.24596055689834,1.932847290218539,0.022974265066964282,1948.1739130434783,2.0,23,0.4469325395992824,420.44740056991577
Macosko__zero__seed42,Macosko,zero,42,0.6960454782245903,0.6459277366315872,0.7493527941439029,114.16849650942063,1.6843468262874215,0.40000236833308433,44808.0,44808.0,1,0.4468281594344548,224.99927854537964
Macosko__zero__seed43,Macosko,zero,43,0.705651185375968,0.6614831160386409,0.7575656132833423,111.4252280083877,1.6652556153704208,0.3999837248112474,44808.0,44808.0,1,0.44682582225118367,217.50067162513733
Macosko__zero__seed44,Macosko,zero,44,0.7036508497794238,0.6563141283904385,0.7557802178182468,91.50698306961003,1.6292515816269155,0.4000005140304566,44808.0,44808.0,1,0.44684282660484315,216.36802458763123
Melanoma_5K__swap_global__seed42,Melanoma_5K,swap_global,42,0.652728824371817,0.7224328257984157,0.7157101706182141,126.47779006709219,1.3767351088669189,0.04089613970588236,4513.0,4513.0,1,0.44366759938352246,35.7807137966156
Melanoma_5K__swap_global__seed43,Melanoma_5K,swap_global,43,0.6620996482626441,0.7221465305509421,0.734323066696211,125.88076480434766,1.464799720524828,0.04090446346507352,4513.0,4513.0,1,0.44346709111157584,33.72614240646362
Melanoma_5K__swap_global__seed44,Melanoma_5K,swap_global,44,0.6511633815842195,0.7215851553383696,0.7148238422335476,126.18911418418224,1.3694073280616306,0.04090377987132353,4513.0,4513.0,1,0.44357666899176207,31.895958185195923
Melanoma_5K__swap_lib__seed42,Melanoma_5K,swap_lib,42,0.6591704899919926,0.7230311422957074,0.7223576335032129,127.0722866233998,1.3214924938486627,0.03976353400735294,451.3,451.0,10,0.4437260171946357,30.726422786712646
Melanoma_5K__swap_lib__seed43,Melanoma_5K,swap_lib,43,0.49453570113606676,0.672785979144262,0.5444272102814093,126.39029954812696,1.2882842718742313,0.03976441865808823,451.3,451.0,10,0.4436352200367871,31.39974045753479
Melanoma_5K__swap_lib__seed44,Melanoma_5K,swap_lib,44,0.652765648867532,0.7206003100197262,0.7154885885220474,127.02956381451892,1.3637993223335663,0.03974529526654412,451.3,451.0,10,0.4435490124365863,30.694189071655273
Melanoma_5K__swap_ndet__seed42,Melanoma_5K,swap_ndet,42,0.6655998708596579,0.723549448196563,0.7398626191003767,126.95217011202179,1.2905224086586458,0.039464522058823524,451.3,451.0,10,0.44372353308341084,35.053908348083496
Melanoma_5K__swap_ndet__seed43,Melanoma_5K,swap_ndet,43,0.6524598294020469,0.7175650141676405,0.7146022601373809,126.97941105685837,1.318725350242149,0.03945059742647059,451.3,451.0,10,0.4434727272566627,33.6170175075531
Melanoma_5K__swap_ndet__seed44,Melanoma_5K,swap_ndet,44,0.655726055998232,0.7175687111367558,0.7352093950808775,127.05426710243952,1.363023122971057,0.039440122357536765,451.3,451.0,10,0.44358934199108796,34.34786796569824
Melanoma_5K__swap_zerolib__seed42,Melanoma_5K,swap_zerolib,42,0.6603281568052642,0.7164780211298694,0.7389762907157101,126.53958295857319,1.360117745276314,0.03903330365349265,180.52,2.0,25,0.4437456691966337,42.1116578578949
Melanoma_5K__swap_zerolib__seed43,Melanoma_5K,swap_zerolib,43,0.6631894609367129,0.7153212581768031,0.7438510968313761,126.55800111219241,1.382222574822352,0.03904520048253677,180.52,2.0,25,0.4435316113864674,31.181291818618774
Melanoma_5K__swap_zerolib__seed44,Melanoma_5K,swap_zerolib,44,0.6557244291033179,0.7166986702364708,0.7205849767338799,127.16998862325089,1.3328517922428305,0.039022455193014706,180.52,2.0,25,0.4435798175194684,27.00803232192993
Melanoma_5K__zero__seed42,Melanoma_5K,zero,42,0.644932088016898,0.7196477270362166,0.7212497230223798,126.72695054490725,1.3645944506903263,0.40003159949008166,4513.0,4513.0,1,0.4432644844055176,22.424431324005127
Melanoma_5K__zero__seed43,Melanoma_5K,zero,43,0.6492002473207757,0.7194240853180153,0.7041879016175493,126.4133709274948,1.3858052292661642,0.39999552165322444,4513.0,4513.0,1,0.4434530857731314,21.713029861450195
Melanoma_5K__zero__seed44,Melanoma_5K,zero,44,0.6507230669248469,0.7105238652558089,0.718147573676047,125.16798029375171,1.5174924695021046,0.40004375772002876,4513.0,4513.0,1,0.44354908080662,21.01305055618286
Quake_10x_Spleen__swap_global__seed42,Quake_10x_Spleen,swap_global,42,0.9218653547791822,0.838234772711555,0.9518425460636516,127.86572670474521,1.1455133931921904,0.0337288402660473,9552.0,9552.0,1,0.4435244444254282,76.86353302001953
Quake_10x_Spleen__swap_global__seed43,Quake_10x_Spleen,swap_global,43,0.9230474219290693,0.8428090446972611,0.9504815745393634,127.80822051520667,1.1559970013649066,0.03372456450591216,9552.0,9552.0,1,0.4434760341773162,66.67823505401611
Quake_10x_Spleen__swap_global__seed44,Quake_10x_Spleen,swap_global,44,0.9228407216268731,0.8444941000314327,0.9534128978224455,127.84411535830574,1.1665482454191436,0.03373550200591217,9552.0,9552.0,1,0.44338995298823797,74.98649430274963
Quake_10x_Spleen__swap_lib__seed42,Quake_10x_Spleen,swap_lib,42,0.9210647902559925,0.833028003201487,0.9535175879396985,127.79101750092605,1.1606027783499042,0.03320204682221284,955.2,955.0,10,0.44355752903061946,72.51646447181702
Quake_10x_Spleen__swap_lib__seed43,Quake_10x_Spleen,swap_lib,43,0.9051996429797888,0.7888576477226665,0.928287269681742,127.6564779584106,1.1521058911825455,0.03321376029349662,955.2,955.0,10,0.4435399931830329,70.01017165184021
Quake_10x_Spleen__swap_lib__seed44,Quake_10x_Spleen,swap_lib,44,0.9185627481241068,0.8284741803598572,0.9534128978224455,127.63952446403268,1.1688592093461465,0.033210379275760135,955.2,955.0,10,0.443504591245909,74.28514790534973
Quake_10x_Spleen__swap_ndet__seed42,Quake_10x_Spleen,swap_ndet,42,0.9234792940696815,0.8458790428617485,0.957391122278057,127.78810002042539,1.1714588391304273,0.03319455104518581,955.2,955.0,10,0.4435871074328551,73.40174651145935
