Command: /data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/CutAware_NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed_scmae/Tosches.h5ad --save_dir /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Tosches/canm_cut_reweighted_mix/seed42 --dataset_name Tosches --variant_name canm_cut_reweighted_mix --seed 42 --n_clusters 15 --epochs 80 --batch_size 256 --n_top_genes 1000 --gpu 5 --no_save_h5ad

Using device: cuda:0
/data/luolie/conda/base/lib/python3.13/functools.py:934: UserWarning: zero-centering a sparse array/matrix densifies it.
  return dispatch(args[0].__class__)(*args, **kw)
Epoch 001/80 loss=0.3846 scmae=0.2983 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 010/80 loss=0.2999 scmae=0.2239 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 020/80 loss=0.2962 scmae=0.2212 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 030/80 loss=0.2933 scmae=0.2197 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 040/80 loss=0.2897 scmae=0.2172 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 050/80 loss=0.2873 scmae=0.2153 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 060/80 loss=0.2858 scmae=0.2144 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 070/80 loss=0.2857 scmae=0.2142 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Epoch 080/80 loss=0.2845 scmae=0.2135 cut=0.0000 ot=0.0000 mass=[0.000,0.000]
Results saved to: /home/luolie/biopipeline/dimension-reduction/plantnet/results/experimental/cutaware_neighbormix_20260615/Tosches/canm_cut_reweighted_mix/seed42
