dataset,method,ari,acc,nmi,mean_gate_final,gate_eff_final,used_scgpt_transformer,fallback_reason
Macosko,canm_cut_reweighted_mix,0.3732874256022652,0.5819496518478843,0.6232832435020494,,,,
Melanoma_5K,canm_cut_reweighted_mix,0.664733700215499,0.7349878129847108,0.7320136007131621,,,,
SRP182008,canm_cut_reweighted_mix,0.4443267937614685,0.5947905875388486,0.6208814090020858,,,,
Tosches,canm_cut_reweighted_mix,0.7389076207884887,0.7430347192456065,0.770778720917153,,,,
Wang,canm_cut_reweighted_mix,0.9391771630721001,0.9860279441117764,0.8693807179817733,,,,
Macosko,canm_gated_cut_mix,0.2923443703710783,0.4431574718800214,0.5662881511847346,0.7439273907379671,3.2589211992242118,,
Melanoma_5K,canm_gated_cut_mix,0.6606284100119668,0.7239087081763793,0.7247762485646302,0.7526011996799045,3.417125291294522,,
SRP182008,canm_gated_cut_mix,0.45148049378922905,0.6089240787331656,0.6292471868145683,0.7532167265999992,3.334876793735432,,
Tosches,canm_gated_cut_mix,0.5211912275080864,0.6284826403771967,0.7203884628716325,0.765059131465546,3.3418738548069786,,
Wang,canm_gated_cut_mix,0.9387409999669465,0.9859228910599853,0.8688984111855032,0.8140381135438618,3.6183924298537407,,
Macosko,canm_gated_cut_warm,0.29077887679304476,0.4383369041242635,0.5635115570660539,0.7224669493734837,3.3424844281239943,,
Melanoma_5K,canm_gated_cut_warm,0.6657070348309279,0.7358741413693773,0.7334881948191488,0.7269665930006239,3.492318484518263,,
SRP182008,canm_gated_cut_warm,0.4445743367560012,0.5945685955305609,0.6250836428651136,0.7308848972590465,3.4162918306746572,,
Tosches,canm_gated_cut_warm,0.5193145582809773,0.6074796399485641,0.7317943970869679,0.7406199533645421,3.419097691366117,,
Wang,canm_gated_cut_warm,0.9391771630721001,0.9860279441117764,0.8693807179817733,0.7789573418466669,3.6871391911255684,,
Macosko,scGPT_runner_pca_fallback,0.22565919140737453,0.38468577039814317,0.5347891642857675,,,False,scgpt package unavailable: No module named 'scgpt'
Melanoma_5K,scGPT_runner_pca_fallback,0.552736518267948,0.66009306448039,0.6428684271025294,,,False,scgpt package unavailable: No module named 'scgpt'
SRP182008,scGPT_runner_pca_fallback,0.5129633726110361,0.6792215480242711,0.6600835520700159,,,False,scgpt package unavailable: No module named 'scgpt'
Tosches,scGPT_runner_pca_fallback,0.5223780950951161,0.636894556365195,0.7275558619687671,,,False,scgpt package unavailable: No module named 'scgpt'
Wang,scGPT_runner_pca_fallback,0.9382953239988724,0.9858178380081941,0.868187253255384,,,False,scgpt package unavailable: No module named 'scgpt'
