dataset,n_cells,n_genes,k,log_n_cells,cells_per_cluster,sparsity,ndet_median,ndet_cv,lib_cv,pca_part_ratio,pca_top10_var,pca_pc1_var
Bach,23184,19965,8,4.365188368127099,2898.0,0.8804,2188.0,0.4378924043217766,0.8039054592814072,12.564,0.2014,0.0655
Baron,8569,20125,14,3.9329301428307897,612.0714285714286,0.9062,1847.0,0.32872177310515927,0.5864885374789937,14.696,0.2764,0.0718
CRA002977_1,10947,53678,7,4.03929511808431,1563.857142857143,0.9469,2849.0,0.6114416771364639,0.9269728651205636,19.141,0.2862,0.05
CRA007122,25121,56044,7,4.400036923514113,3588.714285714286,0.9803,1018.0,0.39021943548878585,0.217583070018026,28.262,0.1178,0.0207
Guo,6490,27477,12,3.812244696800369,540.8333333333334,0.8878,2572.5,0.5488516680877831,0.9119048873819326,9.075,0.4151,0.1177
Limb_Muscle,3909,23341,6,3.5920656704322473,651.5,0.9357,1356.0,0.39012537982276024,0.6051139111623114,20.223,0.1901,0.044
Macosko,44808,23288,12,4.651355559660685,3734.0,0.9695,482.0,0.8795797766588705,1.3385862504429324,20.294,0.1006,0.0282
Melanoma_5K,4513,23684,9,3.654465333520146,501.44444444444446,0.87,2801.0,0.37288064511236163,0.00783286119495693,22.777,0.1668,0.04
Pollen,301,21721,11,2.4785664955938436,27.363636363636363,0.6411,7712.0,0.2540026987787973,6.805857805677121e-05,33.771,0.2974,0.0669
Quake_10x_Spleen,9552,23341,5,3.980094313785294,1910.4,0.9434,1182.0,0.38346660457714166,0.7264585354275801,26.756,0.2256,0.0478
Quake_Smart-seq2_Lung,1676,23341,11,3.2242740142942576,152.36363636363637,0.8908,2410.0,0.34607671484961383,0.7975108550117053,21.438,0.2632,0.0594
SRP145013,40848,67300,9,4.611170797460175,4538.666666666667,0.9641,1053.0,1.012802971586286,0.40277389620238657,18.944,0.1442,0.0337
SRP171040,33956,53678,12,4.530916524909873,2829.6666666666665,0.9518,1765.0,0.7960322762684726,0.3162957276690908,20.819,0.2308,0.0437
SRP182008,13514,53678,15,4.130783914588957,900.9333333333333,0.976,1007.0,0.6371576084994167,1.0868353374667186,19.772,0.2052,0.0479
SRP224648,14533,67300,4,4.1623552735520795,3633.25,0.9645,2193.0,0.624945515556286,0.8631570703672237,25.577,0.1626,0.0387
SRP235541,27798,53678,18,4.444013550586799,1544.3333333333333,0.9374,2882.5,0.7608891324357082,0.3272189906194883,21.276,0.2826,0.0466
SRP309176,47747,56723,13,4.678946089545405,3672.846153846154,0.9619,1425.0,0.8736549985901777,0.37527957895574554,29.585,0.1252,0.024
Shekhar,26830,13166,18,4.428620672671939,1490.5555555555557,0.9334,811.0,0.34792514644176054,0.4575423071708812,7.607,0.1392,0.0703
Tosches,18664,23500,15,4.271004725785696,1244.2666666666667,0.9083,1590.0,0.6408801849037272,1.0408585192687676,13.527,0.2043,0.0567
Wang,9519,14561,2,3.9785913268200748,4759.5,0.8531,2100.0,0.3606537374915341,0.17861684777878123,16.11,0.3453,0.073
Young,5685,33658,11,3.7547304690237535,516.8181818181819,0.947,1350.0,0.7847610323499957,1.6697617688382353,24.124,0.1354,0.0282
hrvatin_geo_maintype_counts,48266,25187,8,4.683641308557471,6033.25,0.9419,1112.0,0.6248730503953921,0.8318520757824084,9.713,0.2358,0.0744
worm_neuron_cell,4186,13488,10,3.6217992240026677,418.6,0.9862,151.0,0.6309892651010462,0.8209033449866326,45.073,0.0449,0.0064
