dataset,seed,resolution,n_pred_clusters,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,silhouette,protocol,cluster_method,uses_known_k,davies_bouldin,calinski_harabasz
Macosko,42,0.05,9,0.9204606320299946,0.7419487053203776,0.8300577484739537,0.5138073908806349,0.9062662222731241,0.7419487053203775,0.758134958452037,0.7264391604759836,0.14255422353744507,fixed,kmeans_known_k,True,2.1510167244087253,159.52612890122242
Macosko,42,0.1,11,0.9107302267452241,0.7187142142071049,0.8054037689543609,0.5759897352156338,0.8917884911504119,0.7187142142071047,0.7513615788214113,0.6887858247401701,0.1283053606748581,fixed,kmeans_known_k,True,2.1754303273529128,138.99999671861767
Macosko,42,0.2,24,0.904101946081057,0.7132357769982653,0.7746404829931032,0.7268784799393143,0.8729840980770638,0.7132357769982655,0.81661237904095,0.6330914572320574,0.1822909414768219,fixed,kmeans_known_k,True,2.025371723776427,93.07462614930883
Macosko,42,0.3,33,0.791131048027138,0.638886367616253,0.6886684865173762,0.6056567259334216,0.820312212102281,0.6388863676162531,0.8199619277622899,0.5233195598960867,0.10689819604158401,fixed,kmeans_known_k,True,2.159161428223793,75.2419393583453
Macosko,42,0.4,36,0.8232904838421711,0.633522347077907,0.6797530644294103,0.6687804821704373,0.8146977252782753,0.6335223470779069,0.8235448605693406,0.5147502636174561,0.11765681207180023,fixed,kmeans_known_k,True,2.0735956777889717,72.71775833898415
Macosko,42,0.5,38,0.8018211033743974,0.6131136179459427,0.6338833755796652,0.6583932462289078,0.7853530742078805,0.6131136179459428,0.8247256860569425,0.48792061001126014,0.10832304507493973,fixed,kmeans_known_k,True,2.211699271438628,68.83724527638202
Macosko,42,0.6,43,0.5989778610962329,0.5363601299613063,0.350750742801546,0.6078576863803111,0.5779589808919473,0.5363601299613063,0.8220365828183515,0.39803417870276137,0.057366516441106796,fixed,kmeans_known_k,True,2.2781556304266792,63.53610763770482
Macosko,42,0.8,50,0.5297045170505267,0.49621120080690767,0.2717292942427487,0.5916439564851645,0.5071783941445465,0.4962112008069077,0.8183483787084874,0.3560532874123556,0.015987738966941833,fixed,kmeans_known_k,True,2.4720993935435662,49.864926667458725
Macosko,42,1.0,60,0.439542046063203,0.45465404818590155,0.18927624630776418,0.5770108725141214,0.42195332125453755,0.45465404818590155,0.8157613117683264,0.3151491938157767,0.0012400944251567125,fixed,kmeans_known_k,True,2.5208789051962985,58.24817395124086
Macosko,42,1.2,67,0.41003838600249953,0.43313068598906973,0.14622452312637518,0.5929113308615435,0.37025180320440987,0.4331306859890698,0.8207172610957081,0.29419573095017887,-0.0031496500596404076,fixed,kmeans_known_k,True,2.6273296307261695,55.52678170802058
Macosko,42,1.5,82,0.3708266381003392,0.4062883090952806,0.09999485652991857,0.6314070930650194,0.30558820059520825,0.4062883090952805,0.8190446754903229,0.2701477470494171,-0.011859657242894173,fixed,kmeans_known_k,True,2.707896351219974,46.97512997749353
Macosko,42,2.0,99,0.3330432065702553,0.37694680663237956,0.06025859362063849,0.6323787671532667,0.23682259793154722,0.3769468066323795,0.8230078759536816,0.24445495402680165,-0.016945132985711098,fixed,kmeans_known_k,True,2.8671254988887416,34.314424242265154
Macosko,42,2.5,120,0.31503302981610426,0.36617568003513373,0.045411724082058194,0.6845200614639734,0.20547426051865667,0.3661756800351337,0.8410731353778534,0.23403298635847908,-0.016629189252853394,fixed,kmeans_known_k,True,2.8176746856804935,32.86659743085329
Macosko,42,3.0,144,0.2877834315300839,0.3538620175185926,0.037167489425935805,0.6537430199625435,0.1858222608208689,0.3538620175185926,0.839521016879408,0.22417678892039314,-0.029314428567886353,fixed,kmeans_known_k,True,2.828496410686893,28.07458060648769
