dataset,seed,resolution,n_pred_clusters,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,silhouette,protocol,cluster_method,uses_known_k,davies_bouldin,calinski_harabasz
Melanoma_5K,42,0.05,8,0.39596720584976736,0.45585136863271325,0.20922955010256183,0.21302397073490087,0.48578137679524475,0.4558513686327132,0.36250248614024333,0.6139514842091475,-0.0031601551454514265,fixed,kmeans_known_k,True,1.8430874054965583,121.14826162552473
Melanoma_5K,42,0.1,10,0.5198315976069133,0.6111484696896821,0.4360510490461209,0.425903357682184,0.5864610215175279,0.6111484696896821,0.5804611560697803,0.6452615964148772,0.08226706832647324,fixed,kmeans_known_k,True,2.033835035856794,142.5492181882724
Melanoma_5K,42,0.2,12,0.5251495679149125,0.6145591353160113,0.4346594203066591,0.4823142175151001,0.5819729077705948,0.6145591353160113,0.6028775672661505,0.626702340563297,0.1111585944890976,fixed,kmeans_known_k,True,1.9350996724294778,147.32638304386964
Melanoma_5K,42,0.3,16,0.6758253933082207,0.6272199552743931,0.5407311845641484,0.5622745599494547,0.6289846761226355,0.6272199552743931,0.7063813833458116,0.5640131807322983,0.07151579856872559,fixed,kmeans_known_k,True,2.2152699755950414,118.51429748295499
Melanoma_5K,42,0.4,17,0.6815865278085531,0.6399994791614937,0.5482217758775654,0.6351811973801915,0.6354758543758251,0.6399994791614937,0.7362140883697695,0.5660264170119275,0.08289416879415512,fixed,kmeans_known_k,True,2.0946180072542866,117.95096776538409
Melanoma_5K,42,0.5,19,0.6503434522490583,0.6071719570978424,0.5132921008932626,0.5910475053232627,0.6066735407640619,0.6071719570978424,0.7140844270526693,0.5281043578690918,0.08652672171592712,fixed,kmeans_known_k,True,2.1779325671163,109.58024816238375
Melanoma_5K,42,0.6,21,0.6538887657877244,0.6191243532002269,0.5214039861247269,0.6011462026096224,0.6136167698478332,0.619124353200227,0.7336595253719199,0.5355214792435314,0.0922950729727745,fixed,kmeans_known_k,True,2.1165937046672316,103.35141952463792
Melanoma_5K,42,0.8,22,0.634389541325061,0.6069749258823728,0.49623930883977874,0.5837154703443503,0.5933111305190816,0.6069749258823728,0.732389312355584,0.5182327252622357,0.09781939536333084,fixed,kmeans_known_k,True,2.2261937864866606,98.8344964593519
Melanoma_5K,42,1.0,23,0.6155550631508974,0.5909316941433413,0.4804705357195782,0.5664983738439776,0.5826938732245135,0.5909316941433415,0.7310208845898711,0.49589991226631774,0.08678647130727768,fixed,kmeans_known_k,True,2.45304623934115,92.24914933901323
Melanoma_5K,42,1.2,27,0.5442056281852427,0.5709119467408912,0.3923845528335181,0.5680340716382482,0.5107683790849548,0.5709119467408912,0.7381241696779427,0.4654666597795163,0.0839366763830185,fixed,kmeans_known_k,True,2.458227283082547,89.37891564763275
Melanoma_5K,42,1.5,31,0.5147352093950809,0.5642767363415192,0.3674918024132892,0.5533023365602482,0.4917505652496838,0.5642767363415192,0.7471898270643241,0.4533066491679761,0.08676297962665558,fixed,kmeans_known_k,True,2.514090681073696,86.20822472578614
Melanoma_5K,42,2.0,36,0.46244183469975625,0.5445115398775168,0.31276973066431185,0.5286364423181812,0.44695423093261033,0.5445115398775168,0.7502771838377588,0.4273182882898868,0.067959263920784,fixed,kmeans_known_k,True,2.5005779092123217,79.99177455864155
Melanoma_5K,42,2.5,42,0.3673831154442721,0.5168604728677038,0.24142263564923694,0.49721394932883267,0.385701292569547,0.5168604728677039,0.7505119003738225,0.3941519915761119,0.04544876888394356,fixed,kmeans_known_k,True,2.6529334830464157,70.15766081397146
Melanoma_5K,42,3.0,51,0.3376911145579437,0.496458716801683,0.1834244556847964,0.4845546585247327,0.3320832204691676,0.49645871680168296,0.7584393291986333,0.36899888055609154,0.005011245608329773,fixed,kmeans_known_k,True,2.735846669286216,60.35067362417372
