dataset,seed,resolution,n_pred_clusters,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,silhouette,protocol,cluster_method,uses_known_k,davies_bouldin,calinski_harabasz
Quake_10x_Spleen,42,0.05,3,0.9341499162479062,0.7474198091501789,0.8597138807058247,0.5249071243153474,0.9380388947795735,0.7474198091501789,0.7198349781390544,0.777203044611109,0.3237552344799042,fixed,kmeans_known_k,True,2.425516839539118,193.0468326100544
Quake_10x_Spleen,42,0.1,5,0.961892797319933,0.820976150813161,0.8942887429423187,0.7459888902718931,0.9526001594731167,0.8209761508131609,0.8426552321766966,0.8003845712678552,0.32152479887008667,fixed,kmeans_known_k,True,2.0528257611998484,153.77890241938007
Quake_10x_Spleen,42,0.2,10,0.8820142378559463,0.6139732631040418,0.45085363500393333,0.8897378967932928,0.6972639616414078,0.6139732631040419,0.8860468348228843,0.4697344622945419,0.1125364750623703,fixed,kmeans_known_k,True,2.6470426720445532,86.71809021802608
Quake_10x_Spleen,42,0.3,13,0.8829564489112228,0.5429319635911978,0.2902803470004275,0.89026077563638,0.5659029042999384,0.5429319635911978,0.9002006224679269,0.38867565103450874,0.002545230323448777,fixed,kmeans_known_k,True,2.539581476673975,71.92791350299126
Quake_10x_Spleen,42,0.4,15,0.8692420435510888,0.5192328897930685,0.2738391474340671,0.8551273540838109,0.5503230025330984,0.5192328897930684,0.8895110801100446,0.366619576361321,0.00956615712493658,fixed,kmeans_known_k,True,2.5693931410227298,68.33660703879639
Quake_10x_Spleen,42,0.5,20,0.8693467336683417,0.5010576408033581,0.2545977910465578,0.8556843822739866,0.5314202063462807,0.5010576408033582,0.8902926936796232,0.34863484431683195,0.00934173259884119,fixed,kmeans_known_k,True,2.505001953858676,51.435910855983145
Quake_10x_Spleen,42,0.6,21,0.8666247906197655,0.4868949428962743,0.2400175407549587,0.8509287899410232,0.5167068099733758,0.4868949428962743,0.8826093907631649,0.336173069709695,0.005421969573944807,fixed,kmeans_known_k,True,2.4855636331452238,47.9195150969362
Quake_10x_Spleen,42,0.8,25,0.8600293132328308,0.4461121091521477,0.2010552448054468,0.8075814318041671,0.47426344390711617,0.4461121091521478,0.8742310248008615,0.2994625593682793,0.014292169362306595,fixed,kmeans_known_k,True,2.866071351566315,42.89194504721187
Quake_10x_Spleen,42,1.0,28,0.8402428810720268,0.4184793335666064,0.16747284155361825,0.772994181341488,0.4339326721044644,0.41847933356660644,0.869767089558469,0.27552190828607614,-0.004794313572347164,fixed,kmeans_known_k,True,2.831183035380072,37.7320005043884
Quake_10x_Spleen,42,1.2,30,0.830925460636516,0.3921595292698698,0.1227852890489301,0.7503901356297387,0.37306624670325844,0.39215952926986974,0.8721947364281597,0.252944759056401,-0.020468169823288918,fixed,kmeans_known_k,True,3.0138337429647866,38.66168577591394
Quake_10x_Spleen,42,1.5,39,0.8286222780569514,0.3786876713651911,0.09946862708174417,0.7692374317367602,0.3364770474104077,0.3786876713651911,0.8851195431978327,0.2408706247379789,-0.018292736262083054,fixed,kmeans_known_k,True,2.858261047155885,33.777090229652956
Quake_10x_Spleen,42,2.0,46,0.8352177554438861,0.37172147455525134,0.08555624848534252,0.775419116280397,0.31195940452469817,0.3717214745552514,0.9091240584223965,0.23362233758483678,-0.006379604339599609,fixed,kmeans_known_k,True,2.6899921946940286,35.09389303943223
Quake_10x_Spleen,42,2.5,53,0.823178391959799,0.3441294445942109,0.05522005853419442,0.7636455453082116,0.25154411044555974,0.3441294445942109,0.9097576416462707,0.2121983170255195,-0.026288842782378197,fixed,kmeans_known_k,True,2.885104970322347,31.05811001788253
Quake_10x_Spleen,42,3.0,61,0.8145938023450586,0.32912074885460374,0.044353148386474195,0.7489129556038203,0.2256585921160292,0.32912074885460374,0.9084563855911455,0.20096346897984058,-0.04012589156627655,fixed,kmeans_known_k,True,2.9330113123173107,27.488644696023663
