run,dataset,seed,method,assignment_mode,variance_weight,latent_dim,kmeans_ari,kmeans_nmi,direct_ari,direct_nmi,pca_ari,pca_nmi,effective_dim_pr,std_min,std_median,dims_std_gt_1p0,cluster_mass_min,cluster_mass_max,runtime_seconds
macosko_sharpen_seed42,Macosko,42,cluster_first_prototype,sharpen,0.02,128,0.184564853278552,0.3509805842582117,0.7403202064233927,0.5819078001424018,0.8867663600718061,0.8044185807713302,127.60457607250282,1.0661920309066772,1.1116032600402832,128,0.0004240314229601857,0.21118996607748616,156.41566157341003
macosko_sharpen_seed43,Macosko,43,cluster_first_prototype,sharpen,0.02,128,0.2095855738695066,0.31918696388266116,0.645758138529306,0.4706287524969506,0.8772598426942328,0.7920215784489014,127.675177120162,1.0589256286621094,1.110612154006958,128,0.0007364756293519014,0.25281199785752545,158.60277390480042
macosko_sharpen_seed44,Macosko,44,cluster_first_prototype,sharpen,0.02,128,0.13226701486040005,0.37540012138228457,0.0,0.0,0.8778065164447744,0.7949696040831118,126.48575506800867,1.011111855506897,1.0972411632537842,128,0.033877878950187464,0.12339314408141404,163.0138635635376
macosko_sinkhorn_seed42,Macosko,42,cluster_first_prototype,sinkhorn,0.02,128,0.1396167404561633,0.4528589446063475,0.1396228240872468,0.45286227770989634,0.8867663600718061,0.8044185807713302,126.9681257168574,1.0196348428726196,1.1050218343734741,128,0.06331458668094983,0.09226031065881092,157.41301798820496
pca_macosko_seed42,Macosko,42,pca_kmeans_baseline,pca,0.0,128,0.8867663600718061,0.8044185807713302,nan,nan,0.8867663600718061,0.8044185807713302,44.075694477867195,1.0764470100402832,1.1570488214492798,128,2.231744331369398e-05,0.6734734868773433,8.128351926803589
pca_macosko_seed43,Macosko,43,pca_kmeans_baseline,pca,0.0,128,0.8772598426942328,0.7920215784489014,nan,nan,0.8772598426942328,0.7920215784489014,44.075694477867195,1.0764470100402832,1.1570488214492798,128,2.231744331369398e-05,0.6793429744688448,10.45357060432434
pca_macosko_seed44,Macosko,44,pca_kmeans_baseline,pca,0.0,128,0.8778065164447744,0.7949696040831118,nan,nan,0.8778065164447744,0.7949696040831118,44.075694477867195,1.0764470100402832,1.1570488214492798,128,2.231744331369398e-05,0.6795884663452955,11.620843648910522
pca_melanoma_seed42,Melanoma_5K,42,pca_kmeans_baseline,pca,0.0,128,0.7039722482088091,0.7365736622201544,nan,nan,0.7039722482088091,0.7365736622201544,44.49267687240354,1.1781082153320312,1.4403730630874634,128,0.006647462884998892,0.2734323066696211,1.9039902687072754
pca_melanoma_seed43,Melanoma_5K,43,pca_kmeans_baseline,pca,0.0,128,0.5679097944072609,0.7094704789651722,nan,nan,0.5679097944072609,0.7094704789651722,44.47421038909584,1.1780728101730347,1.436899185180664,128,0.0044316419233325945,0.4992244626634168,2.695128917694092
pca_melanoma_seed44,Melanoma_5K,44,pca_kmeans_baseline,pca,0.0,128,0.5777983293141025,0.7153689587360583,nan,nan,0.5777983293141025,0.7153689587360583,44.454783331101176,1.1761969327926636,1.4365302324295044,128,0.004874806115665854,0.5003323731442499,3.0090749263763428
pca_quake_seed42,Quake_10x_Spleen,42,pca_kmeans_baseline,pca,0.0,128,0.8884507524456887,0.7985836885078743,nan,nan,0.8884507524456887,0.7985836885078743,43.07025339846352,1.0689173936843872,1.4888358116149902,128,0.000628140703517588,0.7204773869346733,3.2934858798980713
pca_quake_seed43,Quake_10x_Spleen,43,pca_kmeans_baseline,pca,0.0,128,0.8614973098397951,0.7998077764541885,nan,nan,0.8614973098397951,0.7998077764541885,43.07455663304779,1.0750784873962402,1.4886791706085205,128,0.0024078726968174203,0.7351340033500837,3.5701136589050293
pca_quake_seed44,Quake_10x_Spleen,44,pca_kmeans_baseline,pca,0.0,128,0.8389858290712124,0.7404984518313469,nan,nan,0.8389858290712124,0.7404984518313469,43.08552652587562,1.0714577436447144,1.4889614582061768,128,0.00010469011725293132,0.7368090452261307,3.4229350090026855
