record_id,is_primary,duplicate_reason,record_kind,row_granularity,experiment_group,dataset_group,stage,sweep,dataset,method,variant,model_key,seed,status,return_code,error,n_success,n_total,status_summary,authenticity,substitute_model_used,source_path,run_dir,metrics_path,summary_path,eval_path,args_path,status_path,commit_sha,branch,gpu,elapsed_seconds,runtime_seconds,command,score_source,acc,nmi,ari,f1_macro,macro_f1,fmi,v_measure,homogeneity,completeness,silhouette,n_pred_clusters,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,f1_macro_mean,f1_macro_std,macro_f1_mean,macro_f1_std,fmi_mean,fmi_std,v_measure_mean,v_measure_std,extra_json
R000001,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,dec,dec,dec,2024,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed2024__20260608_155345,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed2024__20260608_155345,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed2024__20260608_155345/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed2024__20260608_155345/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed2024__20260608_155345/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,11.9,11.9,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/dec/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/dec__seed2024__20260608_155345 --n_clusters 11 --seed 2024 --epochs 200 --pretrain_epochs 200 --gpu 3,metrics.json:top_level,0.6611295681063123,0.7104231502730529,0.5455463094878872,0.6340656270548046,0.6340656270548046,0.6059894077885074,0.7104231502730531,0.6938902924712772,0.7277630720357555,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""run_config.json"", ""status.json""]}"
R000002,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,dec,dec,dec,3407,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed3407__20260608_155357,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed3407__20260608_155357,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed3407__20260608_155357/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed3407__20260608_155357/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed3407__20260608_155357/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,12.6,12.6,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/dec/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/dec__seed3407__20260608_155357 --n_clusters 11 --seed 3407 --epochs 200 --pretrain_epochs 200 --gpu 3,metrics.json:top_level,0.7940199335548173,0.7862172030833389,0.7618117889790195,0.6896713742123725,0.6896713742123725,0.7879892903037049,0.7862172030833386,0.7871417737351665,0.7852948018704075,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""run_config.json"", ""status.json""]}"
R000003,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,dec,dec,dec,42,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed42__20260608_155332,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed42__20260608_155332,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed42__20260608_155332/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed42__20260608_155332/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/dec__seed42__20260608_155332/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,13.3,13.3,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/dec/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/dec__seed42__20260608_155332 --n_clusters 11 --seed 42 --epochs 200 --pretrain_epochs 200 --gpu 3,metrics.json:top_level,0.7475083056478405,0.7886817629294286,0.7056654789580787,0.6881280424342626,0.6881280424342626,0.7473493070021047,0.7886817629294287,0.7657796760354829,0.8129959413759111,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""run_config.json"", ""status.json""]}"
R000004,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,leiden,leiden,leiden,2024,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed2024__20260608_155428,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed2024__20260608_155428,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed2024__20260608_155428/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed2024__20260608_155428/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed2024__20260608_155428/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,19.2,19.2,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/Traditional/Leiden/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/leiden__seed2024__20260608_155428 --n_clusters 11 --seed 2024,metrics.json:top_level,0.627906976744186,0.6904992040616604,0.4579982628978891,0.3846468737590074,0.3846468737590074,0.5994888890430472,0.6904992040616604,0.5609284963452861,0.897910482833841,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""status.json""]}"
R000005,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,leiden,leiden,leiden,3407,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed3407__20260608_155447,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed3407__20260608_155447,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed3407__20260608_155447/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed3407__20260608_155447/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed3407__20260608_155447/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,18.8,18.8,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/Traditional/Leiden/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/leiden__seed3407__20260608_155447 --n_clusters 11 --seed 3407,metrics.json:top_level,0.627906976744186,0.6904992040616604,0.4579982628978891,0.3846468737590074,0.3846468737590074,0.5994888890430472,0.6904992040616604,0.5609284963452861,0.897910482833841,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""status.json""]}"
R000006,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,leiden,leiden,leiden,42,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed42__20260608_155409,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed42__20260608_155409,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed42__20260608_155409/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed42__20260608_155409/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/leiden__seed42__20260608_155409/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,18.4,18.4,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/Traditional/Leiden/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/leiden__seed42__20260608_155409 --n_clusters 11 --seed 42,metrics.json:top_level,0.627906976744186,0.6893912317675892,0.4561234680086166,0.3847604455061242,0.3847604455061242,0.5981188424639852,0.6893912317675894,0.5598800295263612,0.8968502333965066,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""status.json""]}"
R000007,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,louvain,louvain,louvain,2024,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed2024__20260608_155524,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed2024__20260608_155524,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed2024__20260608_155524/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed2024__20260608_155524/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed2024__20260608_155524/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,18.5,18.5,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/Traditional/Louvain/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/louvain__seed2024__20260608_155524 --n_clusters 11 --seed 2024,metrics.json:top_level,0.627906976744186,0.6913892865872246,0.4554091765339013,0.38488497777715397,0.38488497777715397,0.5978539027602647,0.6913892865872246,0.5613438085931907,0.8998576340748781,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""status.json""]}"
R000008,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,louvain,louvain,louvain,3407,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed3407__20260608_155543,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed3407__20260608_155543,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed3407__20260608_155543/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed3407__20260608_155543/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed3407__20260608_155543/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,18.2,18.2,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/Traditional/Louvain/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/louvain__seed3407__20260608_155543 --n_clusters 11 --seed 3407,metrics.json:top_level,0.627906976744186,0.6909951279258395,0.45407162934432577,0.38502057446846133,0.38502057446846133,0.5970323093607458,0.6909951279258395,0.5608548567379955,0.8997790798853138,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""status.json""]}"
R000009,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,louvain,louvain,louvain,42,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed42__20260608_155506,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed42__20260608_155506,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed42__20260608_155506/metrics.json,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed42__20260608_155506/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/louvain__seed42__20260608_155506/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,18.7,18.7,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/Traditional/Louvain/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/louvain__seed42__20260608_155506 --n_clusters 11 --seed 42,metrics.json:top_level,0.627906976744186,0.6913892865872246,0.4554091765339013,0.38488497777715397,0.38488497777715397,0.5978539027602647,0.6913892865872246,0.5613438085931907,0.8998576340748781,,,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""metrics.json"", ""run.log"", ""status.json""]}"
R000010,true,,run_artifact,run,canonical/formal_benchmark_20260607_08,formal_benchmark_20260607_08,,,Pollen,neighbormix_scmae,neighbormix_scmae,neighbormix_scmae,2024,success,0,,,,,,,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612/metrics.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612/summary.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612/eval_fixed.csv,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612/args.json,/data/luolie/biopipeline/dimension-reduction/plantnet/results/canonical/formal_benchmark_20260607_08/Pollen/neighbormix_scmae__seed2024__20260608_155612/status.json,6ce4c6a0430f862679451698173e2430f500f2c9,refactor/minimal-method-isolation-and-neighbormix-ablations,3,14.6,14.6,/data/luolie/conda/base/bin/python /home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/NeighborMix_scMAE/run.py --data_path /home/luolie/biopipeline/dimension-reduction/plantnet/data/processed/Pollen.h5ad --save_dir results/formal/Pollen/neighbormix_scmae__seed2024__20260608_155612 --n_clusters 11 --seed 2024 --epochs 200 --gpu 3,eval_fixed.csv,0.8803986710963455,0.9256227000364105,0.910796805386569,0.7666596466596467,0.7666596466596467,0.921213915648364,0.9256227000364105,0.9135873008009452,0.9379794359237212,,11,,,,,,,,,,,,,,,"{""markers"": [""args.json"", ""command.txt"", ""eval_fixed.csv"", ""metrics.json"", ""run.log"", ""status.json"", ""summary.json""]}"
