variant,dataset,n_runs,ari_mean,nmi_mean,acc_mean,rank_ari_mean,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate
neg_degree_shuffle_graph,Limb_Muscle,3,0.7133239725408901,0.729001849846835,0.8220346209601773,6.666666666666667,3,0,0,0.22161842000480933,0.0,0.19580179637436249,0.0,1.0
neg_degree_shuffle_graph,Pollen,3,0.3356014505095652,0.4756109592619197,0.522702104097453,8.333333333333334,3,0,0,0.2857242542205811,0.0,0.4657512963307635,0.0,1.0
neg_degree_shuffle_graph,Wang,3,0.0025616592592171273,0.002333504321590234,0.7797737857618098,9.333333333333334,0,0,3,-0.8664180715463204,0.8664180715463204,0.9660942399472057,1.0,1.0
neg_degree_shuffle_graph,worm_neuron_cell,3,0.0161070623254459,0.15124735094298006,0.30920528746615705,10.666666666666666,0,0,3,-0.12401004253063681,0.12401004253063681,0.20003854646201336,1.0,1.0
neg_random_cell_graph,Limb_Muscle,3,0.675020445053757,0.7020687658543605,0.8088172593161082,7.666666666666667,2,0,1,0.18331489251767627,0.013023460757542757,0.23410532386149555,0.3333333333333333,1.0
neg_random_cell_graph,Pollen,3,0.2660185668830253,0.4456936836279663,0.4507198228128461,10.0,3,0,0,0.21614137059404123,0.0,0.5353341799573034,0.0,1.0
neg_random_cell_graph,Wang,3,0.28480057796280434,0.24420863836617565,0.8414399271632175,9.0,0,0,3,-0.5841791528427333,0.5841791528427333,0.6838553212436184,1.0,1.0
neg_random_cell_graph,worm_neuron_cell,3,0.01898442944757717,0.16083251914465457,0.29654403567447046,9.666666666666666,0,0,3,-0.12113267540850554,0.12113267540850554,0.19716117933988211,1.0,1.0
neg_shuffled_gene_cell_graph,Limb_Muscle,3,0.16393526567321062,0.18787664276203908,0.4550183337596998,12.0,0,0,3,-0.3277702868628702,0.3277702868628702,0.745190503242042,1.0,1.0
neg_shuffled_gene_cell_graph,Pollen,3,0.04531047490949405,0.14990263315929528,0.24363233665559247,11.666666666666666,1,0,2,-0.004566721379490025,0.013820952058956415,0.7560422719308346,0.6666666666666666,1.0
neg_shuffled_gene_cell_graph,Wang,3,0.18459754408064702,0.1456152252831153,0.7003536786076969,6.666666666666667,0,0,3,-0.6843821867248906,0.6843821867248906,0.7840583551257757,1.0,1.0
