dataset,seed,status,runtime_seconds,run_dir,error
Pollen,42,success,8.865917444229126,experiment_reports/safe_rdg_pca_20260709/runs/Pollen/seed_42,
Pollen,3047,success,7.4615514278411865,experiment_reports/safe_rdg_pca_20260709/runs/Pollen/seed_3047,
Pollen,3407,success,8.315187454223633,experiment_reports/safe_rdg_pca_20260709/runs/Pollen/seed_3407,
worm_neuron_cell,42,success,15.99381947517395,experiment_reports/safe_rdg_pca_20260709/runs/worm_neuron_cell/seed_42,
worm_neuron_cell,3047,success,14.180546760559082,experiment_reports/safe_rdg_pca_20260709/runs/worm_neuron_cell/seed_3047,
worm_neuron_cell,3407,success,14.707374572753906,experiment_reports/safe_rdg_pca_20260709/runs/worm_neuron_cell/seed_3407,
Wang,42,success,22.027007341384888,experiment_reports/safe_rdg_pca_20260709/runs/Wang/seed_42,
Wang,3047,success,23.001914739608765,experiment_reports/safe_rdg_pca_20260709/runs/Wang/seed_3047,
Wang,3407,success,22.908109188079834,experiment_reports/safe_rdg_pca_20260709/runs/Wang/seed_3407,
Limb_Muscle,42,success,12.693125009536743,experiment_reports/safe_rdg_pca_20260709/runs/Limb_Muscle/seed_42,
Limb_Muscle,3047,success,12.888475179672241,experiment_reports/safe_rdg_pca_20260709/runs/Limb_Muscle/seed_3047,
Limb_Muscle,3407,success,13.499013662338257,experiment_reports/safe_rdg_pca_20260709/runs/Limb_Muscle/seed_3407,
