variant,n_runs,n_datasets,ari_mean,ari_median,nmi_mean,acc_mean,rank_ari_mean,rank_ari_median,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate,enabled_graph_mean_gain
rdg_gene_only,24,8,0.6553800860974933,0.6877566736449561,0.7601942021888454,0.7561568797484952,2.3541666666666665,1.0,23,0,1,0.2514142991082754,0.000977238177515267,0.021067157795433705,0.041666666666666664,1.0,0.2514142991082754
safe_rdg_calibrated_threshold,24,8,0.6125130168539829,0.6880056814318927,0.7141875889930862,0.7466574423873542,3.7291666666666665,3.5,22,0,2,0.20854722986476493,0.04008307564725393,0.06393422703894419,0.08333333333333333,1.0,0.20854722986476493
rdg_always_on,24,8,0.6125130168539829,0.6880056814318927,0.7141875889930861,0.7466574423873542,3.4791666666666665,3.0,22,0,2,0.2085472298647649,0.040083075647253934,0.06393422703894418,0.08333333333333333,1.0,0.2085472298647649
safe_rdg_calibrated_logistic_explore,24,8,0.6125130168539829,0.6880056814318927,0.7141875889930862,0.7466574423873542,3.7291666666666665,3.5,22,0,2,0.20854722986476493,0.04008307564725393,0.06393422703894419,0.08333333333333333,1.0,0.20854722986476493
safe_rdg_heuristic,24,8,0.5312374254290592,0.6151123695892814,0.6385804493077115,0.7291298274479198,4.375,4.0,20,0,4,0.12727163843984132,0.11213330702525164,0.14520981846386782,0.16666666666666666,1.0,0.12727163843984132
rdg_concat_kmeans,24,8,0.5154735051784621,0.49913624727087313,0.6628904314332533,0.6771315209334712,6.333333333333333,6.5,17,0,7,0.11150771818924432,0.01787310531590247,0.16097373871446477,0.2916666666666667,0.0,
pca_kmeans,24,8,0.40396578698921787,0.38156715734767466,0.5351977104429434,0.6019773132012588,8.0,7.5,0,24,0,0.0,0.0,0.2724814569037091,0.0,0.0,
neg_random_cell_graph,24,8,0.327082552268443,0.29905569557240774,0.44606045633612396,0.5629276714299298,9.041666666666666,9.0,9,0,15,-0.07688323472077484,0.15835725902970404,0.3493646916244839,0.625,1.0,-0.07688323472077484
rdg_cell_only,24,8,0.3134670038295621,0.40764144245366335,0.45868843984059304,0.5821370945912697,8.375,8.0,11,0,13,-0.09049878315965575,0.19125232080977636,0.3629802400633648,0.5416666666666666,1.0,-0.09049878315965575
neg_degree_shuffle_graph,24,8,0.30139343543674385,0.31557929258142736,0.41535463555840435,0.5661431668643369,8.791666666666666,9.0,10,0,14,-0.10257235155247402,0.1966033700609945,0.3750538084561832,0.5833333333333334,1.0,-0.10257235155247402
pca_spectral_kmeans,24,8,0.2886258144307469,0.3601503193279473,0.44887010206008987,0.5681176685714645,9.0,9.0,11,0,13,-0.11533997255847095,0.19657442393925376,0.38782142946218007,0.5416666666666666,0.0,
neg_shuffled_gene_cell_graph,24,8,0.11369836970090186,0.08761137395750752,0.16975642870603203,0.3829842566390334,10.791666666666666,12.0,1,0,23,-0.290267417288316,0.2914241961232493,0.5627488741920251,0.9583333333333334,1.0,-0.290267417288316
