dataset,seed,variant,source_variant,graph_enabled,tau,ari,nmi,acc,q_total
Bach,42,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.7132476046087405,0.71515183215335,0.7935213940648723,0.6694723939891316
Bach,3047,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.7191344116918464,0.7077959488381007,0.7033730158730159,0.669980113162676
Bach,3407,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.8521082376698773,0.8040254589350414,0.8363095238095238,0.6682001689411146
Baron,42,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.6832402721961239,0.7087290403806983,0.7622826467499125,0.6957839329478427
Baron,3047,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.7308733049936247,0.7539738307582461,0.7068502742443692,0.6973995961712136
Baron,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.6129429007516166,0.7162060853522692,0.7228381374722838,0.6991913732298318
Guo,42,safe_rdg_calibrated_threshold,pca_kmeans,False,0.7237944865693422,0.35209914432785233,0.606183691788576,0.6323574730354391,0.7052634123430593
Guo,3047,safe_rdg_calibrated_threshold,pca_kmeans,False,0.7237944865693422,0.5715874549868789,0.7565013468654529,0.7189522342064715,0.7060002920092563
Guo,3407,safe_rdg_calibrated_threshold,pca_kmeans,False,0.7237944865693422,0.7842894791301074,0.8245538721319631,0.8400616332819723,0.7058801344924008
Limb_Muscle,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7405171494539577,0.8191764645784329,0.9073931951905858,0.7480758399043035
Limb_Muscle,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.9178236736167543,0.9139755268194685,0.9626502941928882,0.7507644099663849
Limb_Muscle,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.8316440336294294,0.8840377522373788,0.9068815553850089,0.7508270163641906
Macosko,42,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.6146517660490816,0.5304157333652705,0.7784770576682736,0.6813569475112993
Macosko,3047,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.5696751286362705,0.5912839344840203,0.770130333868952,0.6782219912645767
Macosko,3407,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.7632993802509221,0.6317718082462966,0.8406311372969113,0.6668020926756485
Melanoma_5K,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.49222483570110837,0.630622612305064,0.6315089740748947,0.7505869524559667
Melanoma_5K,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.48103676231082865,0.6178074751542626,0.6184356304010636,0.7464863494149473
Melanoma_5K,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.47500670580741206,0.6221065145069817,0.6038112120540661,0.747775041920894
Pollen,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.8700415764190499,0.8955787312019604,0.8571428571428571,0.7748868958396794
Pollen,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7753551137203126,0.8652777043391131,0.7774086378737541,0.759589324492979
Pollen,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7564323599073581,0.8711736477246441,0.7906976744186046,0.76220838923591
Quake_10x_Spleen,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.7326574771940283,0.6667404495448577,0.9163525963149078,0.7466938852100853
