dataset,seed,acc__neg_degree_shuffle_graph,acc__neg_random_cell_graph,acc__neg_shuffled_gene_cell_graph,acc__pca_kmeans,acc__pca_spectral_kmeans,acc__rdg_always_on,acc__rdg_cell_only,acc__rdg_concat_kmeans,acc__rdg_gene_only,acc__safe_rdg_heuristic,ari__neg_degree_shuffle_graph,ari__neg_random_cell_graph,ari__neg_shuffled_gene_cell_graph,ari__pca_kmeans,ari__pca_spectral_kmeans,ari__rdg_always_on,ari__rdg_cell_only,ari__rdg_concat_kmeans,ari__rdg_gene_only,ari__safe_rdg_heuristic,cell_spectral_gap__neg_degree_shuffle_graph,cell_spectral_gap__neg_random_cell_graph,cell_spectral_gap__neg_shuffled_gene_cell_graph,cell_spectral_gap__pca_kmeans,cell_spectral_gap__pca_spectral_kmeans,cell_spectral_gap__rdg_always_on,cell_spectral_gap__rdg_cell_only,cell_spectral_gap__rdg_concat_kmeans,cell_spectral_gap__rdg_gene_only,cell_spectral_gap__safe_rdg_heuristic,gene_module_entropy__neg_degree_shuffle_graph,gene_module_entropy__neg_random_cell_graph,gene_module_entropy__neg_shuffled_gene_cell_graph,gene_module_entropy__pca_kmeans,gene_module_entropy__pca_spectral_kmeans,gene_module_entropy__rdg_always_on,gene_module_entropy__rdg_cell_only,gene_module_entropy__rdg_concat_kmeans,gene_module_entropy__rdg_gene_only,gene_module_entropy__safe_rdg_heuristic,hubness__neg_degree_shuffle_graph,hubness__neg_random_cell_graph,hubness__neg_shuffled_gene_cell_graph,hubness__pca_kmeans,hubness__pca_spectral_kmeans,hubness__rdg_always_on,hubness__rdg_cell_only,hubness__rdg_concat_kmeans,hubness__rdg_gene_only,hubness__safe_rdg_heuristic,nmi__neg_degree_shuffle_graph,nmi__neg_random_cell_graph,nmi__neg_shuffled_gene_cell_graph,nmi__pca_kmeans,nmi__pca_spectral_kmeans,nmi__rdg_always_on,nmi__rdg_cell_only,nmi__rdg_concat_kmeans,nmi__rdg_gene_only,nmi__safe_rdg_heuristic,q_cell__neg_degree_shuffle_graph,q_cell__neg_random_cell_graph,q_cell__neg_shuffled_gene_cell_graph,q_cell__pca_kmeans,q_cell__pca_spectral_kmeans,q_cell__rdg_always_on,q_cell__rdg_cell_only,q_cell__rdg_concat_kmeans,q_cell__rdg_gene_only,q_cell__safe_rdg_heuristic,q_gene__neg_degree_shuffle_graph,q_gene__neg_random_cell_graph,q_gene__neg_shuffled_gene_cell_graph,q_gene__pca_kmeans,q_gene__pca_spectral_kmeans,q_gene__rdg_always_on,q_gene__rdg_cell_only,q_gene__rdg_concat_kmeans,q_gene__rdg_gene_only,q_gene__safe_rdg_heuristic,q_total__neg_degree_shuffle_graph,q_total__neg_random_cell_graph,q_total__neg_shuffled_gene_cell_graph,q_total__pca_kmeans,q_total__pca_spectral_kmeans,q_total__rdg_always_on,q_total__rdg_cell_only,q_total__rdg_concat_kmeans,q_total__rdg_gene_only,q_total__safe_rdg_heuristic,delta_ari_always_vs_pca,delta_nmi_always_vs_pca,delta_acc_always_vs_pca
Bach,42,0.33393719806763283,0.6686507936507936,0.48382505175983437,0.7935213940648723,0.6989302967563837,0.7955486542443064,0.6935386473429952,0.9173567977915804,0.8010697032436163,0.8009834368530021,0.00010021438826490173,0.48940356684966596,0.17817441069855652,0.7132476046087405,0.5916489797695949,0.7654876450693918,0.5468782526385568,0.8980592884716971,0.7942659696225799,0.7779661893613665,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.0028767791757300376,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,0.8750058983115822,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,9.255733856399448,0.004444865383771653,0.4960974047289734,0.15380192906599727,0.71515183215335,0.6184911039423986,0.7540401673195559,0.5926050511710822,0.8624699902113522,0.7699847175641032,0.7629436217718754,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.5376933230041937,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.8012514649740694,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.6694723939891316,0.05224004046065134,0.038888335166205934,0.0020272601794341094
Bach,3047,0.33389406487232576,0.6774499654934437,0.3360938578329883,0.7033730158730159,0.6919858523119393,0.7945997239475501,0.6905193236714976,0.8621463077984817,0.8380348516218081,0.7952898550724637,-0.00010024005791284553,0.518348152305157,0.06223558419499793,0.7191344116918464,0.5447314007348643,0.7639873804058779,0.5410850595001216,0.8685471928890461,0.8139600204557038,0.7660554839610219,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.0024955630158116637,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,0.871213085362766,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,9.033667091850058,0.004095710499553512,0.5211065712553963,0.060352446267725804,0.7077959488381007,0.5951818439930305,0.7521575757862685,0.5883911219926258,0.8376809108731605,0.7896090184287033,0.753288689534046,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.5396569645862338,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.8003032617391183,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.669980113162676,0.04485296871403144,0.04436162694816781,0.09122670807453415
Bach,3407,0.3347567287784679,0.4757591442374051,0.4552277432712215,0.8363095238095238,0.6947032436162871,0.8344979296066253,0.6918564527260179,0.9254227053140096,0.8470496894409938,0.8652950310559007,-4.8818685044046526e-05,0.15148403070942412,0.16890799763833936,0.8521082376698773,0.5864124375744724,0.8035450000845705,0.5432814314390709,0.9108644813390593,0.8414881753883329,0.8425810782209323,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.002932033179206206,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,0.8648148094262894,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,9.229224712121484,0.005345581996752116,0.2818408186979945,0.14424368904872048,0.8040254589350414,0.6109093535481979,0.7762515685587933,0.5894573746518403,0.8781107296233135,0.8024684589416147,0.8027637694108462,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.5376966451265555,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.7987036927556738,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,0.6682001689411146,-0.048563237585306784,-0.02777389037624811,-0.0018115942028985588
Baron,42,0.7660170381608122,0.6339129420002334,0.4965573579180768,0.7622826467499125,0.6259773602520714,0.7287898237834053,0.6583031859026724,0.6732407515462715,0.7408098961372389,0.7606488505076439,0.6463907105204476,0.5073917659291973,0.26221569386738824,0.6832402721961239,0.5161097133367082,0.62410629510805,0.5342928342230859,0.6087426521358476,0.689900543916137,0.7079655040376854,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.002559294152407743,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,0.8906440211798381,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,8.927249954377537,0.659284669129692,0.6402999965919138,0.285468230694115,0.7087290403806983,0.6681569318869224,0.7211628751457325,0.6770824673864556,0.716964511885056,0.7377532058814803,0.7377608160092642,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.5589068727509781,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.8326609931447073,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,0.6957839329478427,-0.059133977088073886,0.012433834765034235,-0.03349282296650724
Baron,3047,0.7962422686427821,0.7125685610923095,0.36095226980977946,0.7068502742443692,0.75236316956471,0.7567977593651535,0.7528299684910724,0.7161862527716186,0.741393394795192,0.7584315556074221,0.6517862688132804,0.6427435037942563,0.09978001142515557,0.7308733049936247,0.6501982682722698,0.7024829910146035,0.6488125709749489,0.6240604405988117,0.691345533510094,0.7044796933921754,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.0032802565738112577,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,0.8973315895818104,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,8.917805374090866,0.6576597855395374,0.6683470876911393,0.16671437604444264,0.7539738307582461,0.7045196077874482,0.7357810413657385,0.6999770200661564,0.7275651468866305,0.7386575598265285,0.737388593563306,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.5604663070974936,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.8343328852449338,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,0.6973995961712136,-0.028390313979021142,-0.01819278939250757,0.049947485120784285
Baron,3407,0.559341813513829,0.6832769284630645,0.40728206325125454,0.7142023573345782,0.6724238534251371,0.7228381374722838,0.6626210759715253,0.6229431672307154,0.7392927996265608,0.754813863928113,0.34593340980878146,0.6036161618714807,0.16434679049499087,0.6331525328092168,0.5411226250513435,0.6129429007516166,0.536642800495924,0.4902402754948666,0.6863464635488304,0.6969126202736032,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.005707786067086662,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,0.8928212567743248,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,9.04740579849356,0.5516963162926026,0.6389866512408985,0.19993515696527972,0.7119971778129975,0.6835796998384532,0.7162060853522692,0.6768899457181112,0.6646244609205094,0.7361762705031535,0.7337011842458815,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.5651774444167156,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.833205302042948,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,0.6991913732298318,-0.02020963205760018,0.004208907539271611,0.008635780137705606
Guo,42,0.6312788906009245,0.7394453004622497,0.44684129429892144,0.6323574730354391,0.7357473035439137,0.7996918335901386,0.7453004622496148,0.7661016949152543,0.799075500770416,0.7987673343605547,0.5072288183621428,0.613301311271862,0.19494117450381496,0.35209914432785233,0.6568507449906392,0.7610108301611663,0.6711678315977027,0.6980213825596465,0.764704564625393,0.7590905642073121,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.0024177055089679156,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,0.9451674664501049,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,7.486366669236829,0.6605330892515847,0.68476945682732,0.31594889716641444,0.606183691788576,0.7205659393665155,0.7890339417092235,0.7228313819931761,0.7954585069541152,0.7955183224525437,0.78883341211689,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.5917349676736494,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.8187918570124693,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.7052634123430593,0.408911685833314,0.18285024992064747,0.16733436055469952
Guo,3047,0.637442218798151,0.7653312788906009,0.40061633281972264,0.7189522342064715,0.7090909090909091,0.7975346687211095,0.7289676425269646,0.7092449922958397,0.7978428351309708,0.7451463790446842,0.4811167360456377,0.6754583633407084,0.18714616004411058,0.5715874549868789,0.6272238783661722,0.7552499156940935,0.660085698398943,0.5636475958060554,0.7636625081572956,0.7041885166319913,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.0029648466714798927,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,0.9448369872290887,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,7.546874792435374,0.6585045120466667,0.7058769498378885,0.2969586288423009,0.7565013468654529,0.7006627540706425,0.7869920798724989,0.7117103743569355,0.7250766594905644,0.7958751585067618,0.7493414915334943,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.5932913468114265,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.8187092372070862,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.7060002920092563,0.1836624607072146,0.030490733007045967,0.07858243451463798
Guo,3407,0.561633281972265,0.6121725731895223,0.46117103235747303,0.8400616332819723,0.6815100154083205,0.8046224961479199,0.6987673343605547,0.7305084745762712,0.7964560862865948,0.8041602465331279,0.29821255734088215,0.5662572627585197,0.19994291557829852,0.7842894791301074,0.6049792206901028,0.7648584185752533,0.6296379153828401,0.6116990210848766,0.760835762869741,0.763307049707457,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.0024363767155153315,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,0.9455133518210406,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,7.327889657237626,0.5765611578203209,0.6490345975471233,0.293421686566299,0.8245538721319631,0.6918739311590748,0.7969270482480549,0.6978624898358157,0.7491503151314142,0.7934443177842938,0.7964867502548933,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.5928819406296149,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.8188783283551868,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,0.7058801344924008,-0.019431060554854107,-0.027626823883908136,-0.035439137134052334
Limb_Muscle,42,0.8301355845484779,0.750575594781274,0.40956766436428754,0.655154771041187,0.7001790739319519,0.9073931951905858,0.7825530826298286,0.7979022767971348,0.9437196213865439,0.9429521616781785,0.7825081423423331,0.5479481204150214,0.10425441892577547,0.44747325960621226,0.4566647752823708,0.7405171494539577,0.5806700782002904,0.6637469481217955,0.8653544533250351,0.858230811995709,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.001216865401453937,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,0.9423786197842913,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,5.779620975479208,0.757838140960816,0.656492258717949,0.15147716730020955,0.5985589862723709,0.6199842126297733,0.8191764645784329,0.7014878941534128,0.7818722361453623,0.8771817298251048,0.8591298920622373,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.6230570398625715,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.8730946399460354,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.7480758399043035,0.2930438898477455,0.22061747830606193,0.2522384241493988
