variant,n_runs,n_datasets,ari_mean,ari_median,nmi_mean,acc_mean,rank_ari_mean,rank_ari_median,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate,enabled_graph_mean_gain
rdg_gene_only,48,16,0.677638887277033,0.6906230387131155,0.7412935066140979,0.7673364897604534,2.6979166666666665,2.0,38,0,10,0.17930491602168389,0.021524639375143335,0.04451752678753928,0.20833333333333334,1.0,0.17930491602168389
safe_rdg_calibrated_threshold,48,16,0.6430023147271372,0.6853907640766299,0.7149973285209684,0.7522092283945744,4.15625,4.0,23,23,2,0.1446683434717882,0.00410248263752694,0.07915409933743496,0.041666666666666664,0.5208333333333334,0.2777632194658333
rdg_always_on,48,16,0.6362953760380483,0.6853907640766299,0.704212094070716,0.7585352032159657,4.0,4.0,34,0,14,0.13796140478269928,0.046992128699536666,0.0858610380265239,0.2916666666666667,1.0,0.13796140478269928
safe_rdg_calibrated_logistic_explore,48,16,0.6362953760380482,0.6853907640766299,0.704212094070716,0.7585352032159659,4.15625,4.25,34,0,14,0.13796140478269925,0.046992128699536666,0.0858610380265239,0.2916666666666667,1.0,0.13796140478269925
rdg_concat_kmeans,48,16,0.5966500894138397,0.6102208366103621,0.696321975967197,0.7184919697374778,5.125,6.0,31,0,17,0.09831611815849069,0.03660369366320739,0.1255063246507325,0.3541666666666667,0.0,
safe_rdg_heuristic,48,16,0.5891622373984077,0.6847224541639517,0.6644999441405376,0.7494726856167319,4.1875,4.0,35,0,13,0.09082826614305868,0.08273358705474981,0.1329941766661645,0.2708333333333333,1.0,0.09082826614305868
pca_kmeans,48,16,0.498333971255349,0.51488928452535,0.5860020706208673,0.6698404456435488,6.46875,6.5,0,48,0,0.0,0.0,0.22382244280922317,0.0,0.0,
neg_random_cell_graph,48,16,0.29447872272805586,0.24716759658396614,0.36194683187000515,0.555498159209631,9.208333333333334,10.0,13,0,35,-0.20385524852729317,0.2698356345268541,0.42767769133651634,0.7291666666666666,1.0,-0.20385524852729317
rdg_cell_only,48,16,0.2816946084494769,0.3326294755329936,0.37349239375012316,0.5701847584328305,9.208333333333334,9.0,13,0,35,-0.21663936280587215,0.28132790445995703,0.4404618056150953,0.7291666666666666,1.0,-0.21663936280587215
pca_spectral_kmeans,48,16,0.28149113977087153,0.27548493150235503,0.3821085445565416,0.5698865646075584,8.916666666666666,9.0,15,0,33,-0.21684283148447744,0.2726745430953884,0.44066527429370056,0.6875,0.0,
neg_degree_shuffle_graph,48,16,0.21073752121217296,0.061843733456666904,0.2848828153612373,0.5283917516371428,9.5,9.0,12,0,36,-0.2875964500431761,0.33910961752390106,0.5114188928523992,0.75,1.0,-0.2875964500431761
neg_shuffled_gene_cell_graph,48,16,0.11119871147784721,0.10182483137452328,0.14006330648222845,0.3785920045564115,10.375,11.0,4,0,44,-0.3871352597775018,0.3964001508678929,0.6109577025867249,0.9166666666666666,1.0,-0.3871352597775018
