variant,n_runs,n_datasets,ari_mean,ari_median,nmi_mean,acc_mean,rank_ari_mean,rank_ari_median,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate,enabled_graph_mean_gain
safe_rdg_calibrated_threshold,2,2,0.9197290595201291,0.9197290595201291,0.9098197991061114,0.9251046778623204,2.0,2.0,2,0,0,0.5100931213976996,0.0,0.001862023537316626,0.0,1.0,0.5100931213976996
rdg_always_on,2,2,0.9197290595201291,0.9197290595201291,0.9098197991061114,0.9251046778623204,2.0,2.0,2,0,0,0.5100931213976996,0.0,0.001862023537316626,0.0,1.0,0.5100931213976996
safe_rdg_heuristic,2,2,0.9054088417348296,0.9054088417348296,0.8819088586197501,0.9201869036886884,4.0,4.0,2,0,0,0.4957729036124001,0.0,0.01618224132261603,0.0,1.0,0.4957729036124001
rdg_gene_only,2,2,0.8770192112266023,0.8770192112266023,0.8989459724087532,0.8933331099647182,4.0,4.0,2,0,0,0.46738327310417277,0.0,0.04457187183084338,0.0,1.0,0.46738327310417277
rdg_concat_kmeans,2,2,0.6435285049120383,0.6435285049120383,0.7143107767921172,0.7627341923950666,4.0,4.0,2,0,0,0.2338925667896087,0.0,0.27806257814540747,0.0,0.0,
safe_rdg_calibrated_logistic_explore,2,2,0.40963593812242954,0.40963593812242954,0.40465766929822716,0.5899107537678621,8.75,8.75,0,2,0,-2.0816681711721685e-17,2.0816681711721685e-17,0.5119551449350161,0.0,0.0,
pca_kmeans,2,2,0.40963593812242954,0.40963593812242954,0.40465766929822716,0.5899107537678621,8.25,8.25,0,2,0,0.0,0.0,0.5119551449350161,0.0,0.0,
rdg_cell_only,2,2,0.21675133449642278,0.21675133449642278,0.3273761495074452,0.6843970740107475,7.25,7.25,1,0,1,-0.19288460362600676,0.38981245850695595,0.7048397485610229,0.5,1.0,-0.19288460362600676
pca_spectral_kmeans,2,2,0.18920076587285278,0.18920076587285278,0.30854050823716084,0.6744302966021096,7.75,7.75,1,0,1,-0.22043517224957676,0.38981245850695595,0.7323903171845929,0.5,0.0,
neg_degree_shuffle_graph,2,2,0.15611490244708076,0.15611490244708076,0.2545346221778579,0.6376753400001884,9.5,9.5,1,0,1,-0.2535210356753488,0.39087642521373495,0.7654761806103649,0.5,1.0,-0.2535210356753488
neg_random_cell_graph,2,2,0.11736954729164516,0.11736954729164516,0.23435683296035384,0.6084381333503652,10.5,10.5,1,0,1,-0.2922663908307844,0.39421137678500795,0.8042215357658005,0.5,1.0,-0.2922663908307844
neg_shuffled_gene_cell_graph,2,2,0.0167307878994241,0.0167307878994241,0.08138476228274577,0.3835539272914217,10.0,10.0,0,0,2,-0.39290515022300543,0.39290515022300543,0.9048602951580216,1.0,1.0,-0.39290515022300543
