variant,dataset,n_runs,ari_mean,nmi_mean,acc_mean,rank_ari_mean,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate
neg_degree_shuffle_graph,Pollen,1,0.3081046932270756,0.5072114269582134,0.4950166112956811,8.0,1,0,0,0.27471077907677227,0.0,0.5619368831919742,0.0,1.0
neg_degree_shuffle_graph,Wang,1,0.00412511166708589,0.0018578173975023194,0.7803340687046959,11.0,0,0,1,-0.7817528504274699,0.7817528504274699,0.9690154780287557,1.0,1.0
neg_random_cell_graph,Pollen,1,0.2372838860587505,0.46706911569256127,0.43853820598006643,9.0,1,0,0,0.20388997190844715,0.0,0.6327576903602994,0.0,1.0
neg_random_cell_graph,Wang,1,-0.002544791475460185,0.00164455022814642,0.7783380607206639,12.0,0,0,1,-0.7884227535700159,0.7884227535700159,0.9756853811713017,1.0,1.0
neg_shuffled_gene_cell_graph,Pollen,1,0.01975222267918206,0.12052874174849697,0.2026578073089701,12.0,0,0,1,-0.013641691471121282,0.013641691471121282,0.8502893537398678,1.0,1.0
neg_shuffled_gene_cell_graph,Wang,1,0.013709353119666142,0.04224078281699456,0.5644500472738733,8.0,0,0,1,-0.7721686089748896,0.7721686089748896,0.9594312365761754,1.0,1.0
pca_kmeans,Pollen,1,0.03339391415030334,0.11612458329724176,0.23255813953488372,10.0,0,1,0,0.0,0.0,0.8366476622687465,0.0,0.0
pca_kmeans,Wang,1,0.7858779620945557,0.6931907552992126,0.9472633680008404,6.5,0,1,0,0.0,0.0,0.18726262760128576,0.0,0.0
pca_spectral_kmeans,Pollen,1,0.37214848666506173,0.6136775820396204,0.5681063122923588,6.0,1,0,0,0.3387545725147584,0.0,0.49789308975398816,0.0,0.0
pca_spectral_kmeans,Wang,1,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,9.5,0,0,1,-0.7796249170139119,0.7796249170139119,0.9668875446151977,1.0,0.0
rdg_always_on,Pollen,1,0.8700415764190499,0.8955787312019604,0.8571428571428571,1.5,1,0,0,0.8366476622687465,0.0,0.0,0.0,1.0
rdg_always_on,Wang,1,0.9694165426212082,0.9240608670102626,0.9930664985817838,2.5,1,0,0,0.1835385805266525,0.0,0.003724047074633252,0.0,1.0
rdg_cell_only,Pollen,1,0.4272496239122017,0.6513488645801891,0.5880398671096345,5.0,1,0,0,0.3938557097618984,0.0,0.44279195250684816,0.0,1.0
rdg_cell_only,Wang,1,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,9.5,0,0,1,-0.7796249170139119,0.7796249170139119,0.9668875446151977,1.0,1.0
rdg_concat_kmeans,Pollen,1,0.313916420128235,0.4968515969551604,0.53156146179402,7.0,1,0,0,0.28052250597793166,0.0,0.5561251562908149,0.0,0.0
rdg_concat_kmeans,Wang,1,0.9731405896958415,0.9317699566290739,0.993906922996113,1.0,1,0,0,0.18726262760128576,0.0,0.0,0.0,0.0
rdg_gene_only,Pollen,1,0.786472396027737,0.8775075946939477,0.7940199335548173,4.0,1,0,0,0.7530784818774336,0.0,0.08356918039131289,0.0,1.0
rdg_gene_only,Wang,1,0.9675660264254676,0.9203843501235588,0.9926462863746192,4.0,1,0,0,0.1816880643309119,0.0,0.005574563270373867,0.0,1.0
safe_rdg_calibrated_logistic_explore,Pollen,1,0.0333939141503033,0.1161245832972417,0.2325581395348837,11.0,0,1,0,-4.163336342344337e-17,4.163336342344337e-17,0.8366476622687465,0.0,0.0
safe_rdg_calibrated_logistic_explore,Wang,1,0.7858779620945557,0.6931907552992126,0.9472633680008404,6.5,0,1,0,0.0,0.0,0.18726262760128576,0.0,0.0
safe_rdg_calibrated_threshold,Pollen,1,0.8700415764190499,0.8955787312019604,0.8571428571428571,1.5,1,0,0,0.8366476622687465,0.0,0.0,0.0,1.0
safe_rdg_calibrated_threshold,Wang,1,0.9694165426212082,0.9240608670102626,0.9930664985817838,2.5,1,0,0,0.1835385805266525,0.0,0.003724047074633252,0.0,1.0
safe_rdg_heuristic,Pollen,1,0.869445960111,0.8916353961596908,0.8538205980066446,3.0,1,0,0,0.8360520459606966,0.0,0.0005956163080499399,0.0,1.0
safe_rdg_heuristic,Wang,1,0.9413717233586594,0.8721823210798095,0.9865532093707322,5.0,1,0,0,0.15549376126410364,0.0,0.03176886633718212,0.0,1.0
