variant,n_runs,n_datasets,ari_mean,ari_median,nmi_mean,acc_mean,rank_ari_mean,rank_ari_median,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate,enabled_graph_mean_gain
safe_rdg_heuristic,2,2,0.5248110989764114,0.5248110989764114,0.6891928841901714,0.7029494772164135,1.5,1.5,2,0,0,0.44008536036499346,0.0,-0.0006844972122516113,0.0,1.0,0.44008536036499346
rdg_always_on,2,2,0.5241266017641599,0.5241266017641599,0.6883719000280055,0.7025911399015545,2.0,2.0,2,0,0,0.43940086315274185,0.0,0.0,0.0,1.0,0.43940086315274185
safe_rdg_calibrated_threshold,2,2,0.5241266017641598,0.5241266017641598,0.6883719000280055,0.7025911399015545,2.5,2.5,2,0,0,0.4394008631527418,0.0,2.7755575615628914e-17,0.0,1.0,0.4394008631527418
rdg_gene_only,2,2,0.4583041832631066,0.4583041832631066,0.6661042128560832,0.6455682840920455,4.0,4.0,2,0,0,0.3735784446516886,0.0,0.06582241850105323,0.0,1.0,0.3735784446516886
rdg_cell_only,2,2,0.21767712646598733,0.21767712646598733,0.4089275703372557,0.43953821709130103,7.5,7.5,1,0,1,0.13295138785456928,0.059714032498923535,0.3064494752981725,0.5,1.0,0.13295138785456928
pca_spectral_kmeans,2,2,0.19397621411474944,0.19397621411474944,0.3882280007008802,0.43395759952888363,8.5,8.5,1,0,1,0.10925047550333139,0.06012681075404779,0.3301503876494104,0.5,0.0,
rdg_concat_kmeans,2,2,0.19029445400842965,0.19029445400842965,0.5121122756197124,0.47103301147790533,8.0,8.0,1,0,1,0.1055687153970116,0.003767604583586076,0.3338321477557302,0.5,0.0,
neg_degree_shuffle_graph,2,2,0.17800751765890413,0.17800751765890413,0.34103014498492723,0.42811031233680374,7.5,7.5,1,0,1,0.09328177904748608,0.047588727208502345,0.3461190841052557,0.5,1.0,0.09328177904748608
neg_random_cell_graph,2,2,0.15708639408018624,0.15708639408018624,0.30870909352682285,0.39409048989433215,10.0,10.0,1,0,1,0.07236065546876819,0.06049850080583816,0.3670402076839736,0.5,1.0,0.07236065546876819
pca_kmeans,2,2,0.08472573861141805,0.08472573861141805,0.23536518864339173,0.3238758208424538,8.0,8.0,0,2,0,0.0,0.0,0.43940086315274185,0.0,0.0,
safe_rdg_calibrated_logistic_explore,2,2,0.084725738611418,0.084725738611418,0.23536518864339168,0.3238758208424538,9.0,9.0,0,2,0,-4.85722573273506e-17,4.85722573273506e-17,0.43940086315274185,0.0,0.0,
neg_shuffled_gene_cell_graph,2,2,0.045560888121566695,0.045560888121566695,0.10728686433691109,0.24094434382604252,9.5,9.5,1,0,1,-0.039164850489851355,0.059528477167588044,0.4785657136425932,0.5,1.0,-0.039164850489851355
