variant,dataset,n_runs,ari_mean,nmi_mean,acc_mean,rank_ari_mean,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate
neg_degree_shuffle_graph,Pollen,1,0.3151349266622802,0.48378683187968796,0.4950166112956811,7.0,1,0,0,0.28174101251197686,0.0,0.5423763891380888,0.0,1.0
neg_degree_shuffle_graph,worm_neuron_cell,1,0.04088010865552806,0.19827345809016647,0.3612040133779264,8.0,0,0,1,-0.09517745441700469,0.09517745441700469,0.1498617790724226,1.0,1.0
neg_random_cell_graph,Pollen,1,0.29911222669951604,0.45820081650322786,0.4883720930232558,8.0,1,0,0,0.2657183125492127,0.0,0.558399089100853,0.0,1.0
neg_random_cell_graph,worm_neuron_cell,1,0.015060561460856442,0.15921737055041785,0.2998088867654085,12.0,0,0,1,-0.12099700161167631,0.12099700161167631,0.1756813262670942,1.0,1.0
neg_shuffled_gene_cell_graph,Pollen,1,0.07412116750577673,0.1587231818079713,0.27906976744186046,10.0,1,0,0,0.040727253355473385,0.0,0.7833901482945924,0.0,1.0
neg_shuffled_gene_cell_graph,worm_neuron_cell,1,0.017000608737356666,0.0558505468658509,0.20281892021022455,9.0,0,0,1,-0.11905695433517609,0.11905695433517609,0.17374127899059397,1.0,1.0
pca_kmeans,Pollen,1,0.03339391415030334,0.11612458329724176,0.23255813953488372,11.0,0,1,0,0.0,0.0,0.8241174016500658,0.0,0.0
pca_kmeans,worm_neuron_cell,1,0.13605756307253275,0.3546057939895417,0.4151935021500239,5.0,0,1,0,0.0,0.0,0.05468432465541789,0.0,0.0
pca_spectral_kmeans,Pollen,1,0.37214848666506173,0.6136775820396204,0.5681063122923588,6.0,1,0,0,0.3387545725147584,0.0,0.48536282913530737,0.0,0.0
pca_spectral_kmeans,worm_neuron_cell,1,0.015803941564437162,0.16277841936213996,0.2998088867654085,11.0,0,0,1,-0.12025362150809558,0.12025362150809558,0.1749379461635135,1.0,0.0
rdg_always_on,Pollen,1,0.8575113158003691,0.8847025211321745,0.8538205980066446,2.0,1,0,0,0.8241174016500658,0.0,0.0,0.0,1.0
rdg_always_on,worm_neuron_cell,1,0.19074188772795064,0.49204127892383653,0.5513616817964644,2.0,1,0,0,0.05468432465541789,0.0,0.0,0.0,1.0
rdg_cell_only,Pollen,1,0.418724754857289,0.6519899290650873,0.5780730897009967,5.0,1,0,0,0.38533084070698564,0.0,0.4387865609430801,0.0,1.0
rdg_cell_only,worm_neuron_cell,1,0.016629498074685684,0.16586521160942397,0.3010033444816054,10.0,0,0,1,-0.11942806499784707,0.11942806499784707,0.17411238965326495,1.0,1.0
rdg_concat_kmeans,Pollen,1,0.2520665541114987,0.5994011549459028,0.5182724252491694,9.0,1,0,0,0.21867263996119535,0.0,0.6054447616888704,0.0,0.0
rdg_concat_kmeans,worm_neuron_cell,1,0.1285223539053606,0.42482339629352195,0.4237935977066412,7.0,0,0,1,-0.007535209167172152,0.007535209167172152,0.062219533822590045,1.0,0.0
rdg_gene_only,Pollen,1,0.731783729429319,0.8445249764248406,0.760797342192691,4.0,1,0,0,0.6983898152790157,0.0,0.12572758637105008,0.0,1.0
rdg_gene_only,worm_neuron_cell,1,0.18482463709689426,0.48768344928732593,0.5303392259913999,4.0,1,0,0,0.048767074024361506,0.0,0.005917250631056387,0.0,1.0
safe_rdg_calibrated_logistic_explore,Pollen,1,0.0333939141503033,0.1161245832972417,0.2325581395348837,12.0,0,1,0,-4.163336342344337e-17,4.163336342344337e-17,0.8241174016500658,0.0,0.0
safe_rdg_calibrated_logistic_explore,worm_neuron_cell,1,0.1360575630725327,0.3546057939895417,0.4151935021500239,6.0,0,1,0,-5.551115123125783e-17,5.551115123125783e-17,0.05468432465541795,0.0,0.0
safe_rdg_calibrated_threshold,Pollen,1,0.8575113158003691,0.8847025211321745,0.8538205980066446,2.0,1,0,0,0.8241174016500658,0.0,0.0,0.0,1.0
safe_rdg_calibrated_threshold,worm_neuron_cell,1,0.1907418877279506,0.4920412789238365,0.5513616817964644,3.0,1,0,0,0.05468432465541784,0.0,5.551115123125783e-17,0.0,1.0
safe_rdg_heuristic,Pollen,1,0.8575113158003691,0.8847025211321745,0.8538205980066446,2.0,1,0,0,0.8241174016500658,0.0,0.0,0.0,1.0
safe_rdg_heuristic,worm_neuron_cell,1,0.19211088215245387,0.4936832472481683,0.5520783564261825,1.0,1,0,0,0.056053319079921116,0.0,-0.0013689944245032226,0.0,1.0
