variant,dataset,n_runs,ari_mean,nmi_mean,acc_mean,rank_ari_mean,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate
pca_kmeans,Limb_Muscle,1,0.44747325960621226,0.5985589862723709,0.655154771041187,7.0,0,1,0,0.0,0.0,0.47615452920129114,0.0,0.0
pca_kmeans,Wang,1,0.7858779620945557,0.6931907552992126,0.9472633680008404,6.5,0,1,0,0.0,0.0,0.18401612347268326,0.0,0.0
pca_spectral_kmeans,Limb_Muscle,1,0.6722258207895024,0.7662457798924501,0.8311588641596316,6.0,1,0,0,0.22475256118329018,0.0,0.25140196801800097,0.0,0.0
pca_spectral_kmeans,Wang,1,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,8.5,0,0,1,-0.7796249170139119,0.7796249170139119,0.9636410404865952,1.0,0.0
rdg_always_on,Limb_Muscle,1,0.9189558246817529,0.9016982613137511,0.9641852136096188,2.5,1,0,0,0.4714825650755406,0.0,0.0046719641257505495,0.0,1.0
rdg_always_on,Wang,1,0.9698742590558683,0.925049039083919,0.993171551633575,3.0,1,0,0,0.1839962969613126,0.0,1.9826511370668598e-05,0.0,1.0
rdg_cell_only,Limb_Muscle,1,0.2139294319282009,0.46072611087546955,0.5154771041187004,9.0,0,0,1,-0.23354382767801135,0.23354382767801135,0.7096983568793025,1.0,1.0
rdg_cell_only,Wang,1,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,8.5,0,0,1,-0.7796249170139119,0.7796249170139119,0.9636410404865952,1.0,1.0
rdg_concat_kmeans,Limb_Muscle,1,0.8516555148802076,0.8702882027149612,0.8772064466615502,5.0,1,0,0,0.40418225527399537,0.0,0.07197227392729577,0.0,0.0
rdg_concat_kmeans,Wang,1,0.969894085567239,0.9248955485493591,0.993171551633575,1.0,1,0,0,0.18401612347268326,0.0,0.0,0.0,0.0
rdg_gene_only,Limb_Muscle,1,0.9236277888075034,0.9233646370283245,0.9652084932207726,1.0,1,0,0,0.47615452920129114,0.0,0.0,0.0,1.0
rdg_gene_only,Wang,1,0.9675660264254676,0.9203843501235587,0.9926462863746192,5.0,1,0,0,0.1816880643309119,0.0,0.002328059141771366,0.0,1.0
safe_rdg_calibrated_logistic_explore,Limb_Muscle,1,0.4474732596062122,0.5985589862723709,0.655154771041187,8.0,0,1,0,-5.551115123125783e-17,5.551115123125783e-17,0.4761545292012912,0.0,0.0
safe_rdg_calibrated_logistic_explore,Wang,1,0.7858779620945557,0.6931907552992126,0.9472633680008404,6.5,0,1,0,0.0,0.0,0.18401612347268326,0.0,0.0
safe_rdg_calibrated_threshold,Limb_Muscle,1,0.9189558246817529,0.9016982613137512,0.9641852136096188,2.5,1,0,0,0.4714825650755406,0.0,0.0046719641257505495,0.0,1.0
safe_rdg_calibrated_threshold,Wang,1,0.9698742590558684,0.925049039083919,0.993171551633575,2.0,1,0,0,0.1839962969613127,0.0,1.9826511370557576e-05,0.0,1.0
safe_rdg_heuristic,Limb_Muscle,1,0.8668129546941364,0.8760792500823461,0.9421847019698133,4.0,1,0,0,0.4193396950879242,0.0,0.05681483411336696,0.0,1.0
safe_rdg_heuristic,Wang,1,0.9694114994270597,0.9241227844871984,0.9930664985817838,4.0,1,0,0,0.183533537332504,0.0,0.00048258614017926416,0.0,1.0
