dataset,method,seed,variant,rank,source_paper,mask_strategy,preprocessing,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,runtime_seconds,run_dir
Melanoma_5K,scMAEs_001_scdiva_discrete_diffusion,42,001_scdiva_discrete_diffusion,1,ScDiVa: Masked Discrete Diffusion for Joint Modeling of Single-Cell Identity and Expression,dropout_adaptive,scMAE_family,0.7230223797917128,0.7076814156635473,0.6290086459359925,0.6365034525133729,0.7023097952351686,0.7076814156635473,0.7372038298099736,0.6804324933765772,9,,fixed,kmeans_known_k,True,24.981812238693237,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/001_scdiva_discrete_diffusion
Melanoma_5K,scMAEs_002_maskfeat_gene_features,42,002_maskfeat_gene_features,2,MaskFeat: Masked Feature Prediction for Self-Supervised Visual Pre-Training,variance_adaptive,scMAE_family,0.7068468867715488,0.6961772831676827,0.6272879892793993,0.5406015970043233,0.7004531843360909,0.6961772831676826,0.7392843701161026,0.6578203016259616,9,,fixed,kmeans_known_k,True,16.963639974594116,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/002_maskfeat_gene_features
Melanoma_5K,scMAEs_003_consistency_teacher,42,003_consistency_teacher,3,Improved Techniques for Training Consistency Models,random,scMAE_family,0.7230223797917128,0.7139911083935246,0.6287003399305646,0.6479708872604776,0.7021819020716864,0.7139911083935248,0.7417949173256018,0.6881962731376141,9,,fixed,kmeans_known_k,True,21.79986023902893,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/003_consistency_teacher
Melanoma_5K,scMAEs_004_joao_graph_aug,42,004_joao_graph_aug,4,JOAO: Automated Data Augmentations for Graph Contrastive Learning,joao,scMAE_family,0.6554398404608908,0.6216577821565886,0.5444971370929116,0.4033611317401651,0.6329638534793277,0.6216577821565887,0.6563512232360251,0.590447863680209,9,,fixed,kmeans_known_k,True,22.944220066070557,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/004_joao_graph_aug
Melanoma_5K,scMAEs_005_tabr_retrieval,42,005_tabr_retrieval,5,TabR: Tabular Deep Learning Meets Nearest Neighbors,random,scMAE_family,0.6510081985375582,0.6166258473166872,0.5287709302601145,0.4127824040836743,0.6209194993941757,0.6166258473166871,0.6481860330747754,0.5879963003690517,9,,fixed,kmeans_known_k,True,23.195815086364746,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/005_tabr_retrieval
Melanoma_5K,scMAEs_006_scvgae_zinb_graph,42,006_scvgae_zinb_graph,6,scVGAE: ZINB-Based Variational Graph Autoencoder for Single-Cell RNA-Seq Imputation,dropout_adaptive,scMAE_family,0.6722800797695546,0.6465757747131489,0.5645052232724626,0.5212483403385729,0.6487810836741711,0.6465757747131488,0.6974467994909713,0.6026212260047679,9,,fixed,kmeans_known_k,True,23.078035593032837,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/006_scvgae_zinb_graph
Melanoma_5K,scMAEs_007_dino_self_distill,42,007_dino_self_distill,7,DinoBloom: A Foundation Model for Generalizable Cell Embeddings in Hematology,random,scMAE_family,0.7234655439840461,0.7147388551394223,0.6296572007265895,0.6482259928178924,0.7029517529570853,0.7147388551394223,0.7425978660059236,0.688894556607271,9,,fixed,kmeans_known_k,True,24.593255043029785,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/007_dino_self_distill
Melanoma_5K,scMAEs_008_cell_hierarchy_proto,42,008_cell_hierarchy_proto,8,scCello: Cell-ontology guided transcriptome foundation model,variance_adaptive,scMAE_family,0.7524927985818746,0.6766725928238687,0.6525536118427494,0.6083315138415634,0.7211332168558133,0.6766725928238687,0.7142696920424128,0.6428355795303284,9,,fixed,kmeans_known_k,True,17.360965728759766,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/008_cell_hierarchy_proto
Melanoma_5K,scMAEs_010_longtail_prototype,42,010_longtail_prototype,10,Celler: A Genomic Language Model for Long-Tailed Single-Cell Annotation,marker_safe,scMAE_family,0.7680035453135386,0.6957777521275054,0.6888294812893846,0.5542750543950284,0.7507010067788356,0.6957777521275054,0.7275658617536503,0.6666510730112126,9,,fixed,kmeans_known_k,True,15.414917469024658,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/010_longtail_prototype
Melanoma_5K,scMAEs_011_mamba_gated_sequence,42,011_mamba_gated_sequence,11,scMamba: Scalable Foundation Model for Single-Cell Multi-Omics Integration,variance_adaptive,scMAE_family,0.7225792155993795,0.7181415191758653,0.6316811525608178,0.6457179524061247,0.7044723964228513,0.7181415191758652,0.7475860375073734,0.6909285209647945,9,,fixed,kmeans_known_k,True,17.002336502075195,methods/DeepLearning/scMAEs/benchmark_runs/screen/Melanoma_5K/011_mamba_gated_sequence
