stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir
smoke,suture12_attention_matching_teacher_consistency_full,Melanoma_5K,42,0.7039663195213827,0.6932124548570084,0.6140557043721826,0.5418422114993082,0.735414,0.668029,False,False,0.4166014790534973,0.8407563335549154,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_suture_smoke/suture12_attention_matching_teacher_consistency_full/Melanoma_5K/seed42
screen,suture12_attention_matching_teacher_consistency_full,Melanoma_5K,42,0.667848437846222,0.68275172813414,0.5890124348671252,0.5192269158723903,0.735414,0.668029,False,False,1.156013011932373,0.8756481276312874,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_suture_screen/suture12_attention_matching_teacher_consistency_full/Melanoma_5K/seed42
screen,suture12_attention_matching_teacher_consistency_full,Quake_10x_Spleen,42,0.5227177554438861,0.5202104242990396,0.30878010897648517,0.42142186208177834,0.85173,0.922275,False,False,1.2556874752044678,0.9894123394751535,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_suture_screen/suture12_attention_matching_teacher_consistency_full/Quake_10x_Spleen/seed42
smoke,rank01_scdiva_absorbing_diffusion_full,Melanoma_5K,42,0.6018169731885664,0.5802317339039236,0.4465598931604431,0.4789182676496557,0.735414,0.668029,False,False,0.004835291765630245,0.7705295812098383,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank01_scdiva_absorbing_diffusion_full/Melanoma_5K/seed42
screen,rank01_scdiva_absorbing_diffusion_full,Melanoma_5K,42,0.6454686461333924,0.6412321743810712,0.5494842178140844,0.4730385203340849,0.735414,0.668029,False,False,0.33595752716064453,0.8845778861068025,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank01_scdiva_absorbing_diffusion_full/Melanoma_5K/seed42
screen,rank01_scdiva_absorbing_diffusion_full,Quake_10x_Spleen,42,0.560824958123953,0.5475061957085327,0.3277652887713773,0.4472427436612431,0.85173,0.922275,False,False,0.40525734424591064,0.9913735343383585,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank01_scdiva_absorbing_diffusion_full/Quake_10x_Spleen/seed42
screen,rank01_scdiva_absorbing_diffusion_full,Macosko,42,0.35663274415282986,0.43712318945053585,0.181467134561127,0.27605972384244803,0.657465,0.494268,False,False,0.7651616334915161,0.96217416532762,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank01_scdiva_absorbing_diffusion_full/Macosko/seed42
smoke,rank02_maskfeat_gene_module_semantic_full,Melanoma_5K,42,0.6230888544205628,0.6631946586487243,0.5423114607075328,0.5343550971972876,0.735414,0.668029,False,False,0.1187257319688797,0.8510081985375582,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank02_maskfeat_gene_module_semantic_full/Melanoma_5K/seed42
screen,rank02_maskfeat_gene_module_semantic_full,Melanoma_5K,42,0.6654110347883891,0.6441516190774748,0.555402874298571,0.5077883035172778,0.735414,0.668029,False,False,0.21262481808662415,0.8627963660536229,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank02_maskfeat_gene_module_semantic_full/Melanoma_5K/seed42
screen,rank02_maskfeat_gene_module_semantic_full,Quake_10x_Spleen,42,0.5428182579564489,0.5467175807773571,0.3108792442435611,0.4799091109116736,0.85173,0.922275,False,False,0.23200204968452454,0.9891645728643216,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank02_maskfeat_gene_module_semantic_full/Quake_10x_Spleen/seed42
screen,rank02_maskfeat_gene_module_semantic_full,Macosko,42,0.3812935190144617,0.4583942310459079,0.17465562369997045,0.31713097003224544,0.657465,0.494268,False,False,0.5576542615890503,0.9630110694518836,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank02_maskfeat_gene_module_semantic_full/Macosko/seed42
smoke,rank03_consistency_ema_robust_full,Melanoma_5K,42,0.524263239530246,0.5319390565787224,0.3801074995744143,0.4515242910994039,0.735414,0.668029,False,False,0.23504570126533508,0.7245291380456459,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank03_consistency_ema_robust_full/Melanoma_5K/seed42
screen,rank03_consistency_ema_robust_full,Melanoma_5K,42,0.6490139596720585,0.6616035422134946,0.5327089837616816,0.4892724223410119,0.735414,0.668029,False,False,0.2100110948085785,0.8803456680700199,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank03_consistency_ema_robust_full/Melanoma_5K/seed42
screen,rank03_consistency_ema_robust_full,Quake_10x_Spleen,42,0.7471733668341709,0.6271224469361932,0.535261811743545,0.6085156442860956,0.85173,0.922275,False,False,0.19999200105667114,0.9904731993299832,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank03_consistency_ema_robust_full/Quake_10x_Spleen/seed42
screen,rank03_consistency_ema_robust_full,Macosko,42,0.581971969291198,0.5862149203027163,0.48759904858486697,0.36041243232768716,0.657465,0.494268,False,False,0.4754498600959778,0.9636872879842885,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank03_consistency_ema_robust_full/Macosko/seed42
smoke,rank04_joao_mask_policy_full,Melanoma_5K,42,0.576335032129404,0.6627410799126012,0.5102431669039326,0.47704451106772616,0.735414,0.668029,False,False,0.06719821691513062,0.8444272102814092,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank04_joao_mask_policy_full/Melanoma_5K/seed42
screen,rank04_joao_mask_policy_full,Melanoma_5K,42,0.7059605583868823,0.7053841551988665,0.5977919764183058,0.6397812771897577,0.735414,0.668029,False,False,0.12734460830688477,0.8648570795479725,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank04_joao_mask_policy_full/Melanoma_5K/seed42
