dataset,method,seed,variant,backbone,use_adaptive_mask,use_prototype,use_swav,use_neighbormix,mask_mode,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,run_dir,elapsed_seconds,diag_effective_mask_rate,diag_embedding_variance_mean,diag_embedding_variance_min,diag_embedding_mean_cosine,diag_cluster_mass_max,diag_cluster_mass_min,diag_prototype_confidence_mean,diag_neighbor_reliability_mean,diag_neighbor_reliability_min,diag_neighbor_reliability_all_edge_mean,diag_neighbor_mutual_edge_fraction,diag_neighbor_reliable_edge_fraction,diag_neighbor_reliable_count_mean,diag_neighbor_reliable_count_min,diag_neighbor_score_mean,diag_neighbor_score_p25,diag_neighbor_score_p50,diag_neighbor_score_p75,diag_neighbor_similarity_mean,diag_neighbor_shared_score_mean,diag_neighbor_pseudo_confidence_mean,diag_neighbor_pseudo_same_cluster_edge_fraction,diag_neighbor_pseudo_same_cluster_reliable_fraction,diag_neighbor_consensus_hit_mean,diag_neighbor_adaptive_score_mean,diag_neighbor_adaptive_hit_mean,diag_neighbor_adaptive_core_edge_fraction,diag_neighbor_adaptive_strict_edge_fraction,diag_neighbor_boundary_confidence_mean,diag_neighbor_boundary_cell_fraction,diag_neighbor_boundary_rare_cell_fraction,diag_neighbor_boundary_protected_edge_fraction,diag_neighbor_boundary_kept_protected_edge_fraction,diag_neighbor_boundary_same_cluster_reliable_fraction
Melanoma_5K,scMAE_plus_adaptive_mask,3407,001_adaptive_mask,original_scmae,True,False,False,False,variance_adaptive,0.7391978728118768,0.7350395228767597,0.6678035688596226,0.6538488381233514,0.7337207798949629,0.7350395228767597,0.7651605167399744,0.7072001720775705,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/001_adaptive_mask,30.0,0.041663616363491,0.42565935850143405,0.146022364497184,0.68320232629776,0.26567694544792103,0.017504986375570002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_prototype_dec,3407,002_prototype_dec,original_scmae,False,True,False,False,random,0.7365388876578772,0.7370403092798966,0.6676322552927079,0.652721200098284,0.7336270082536586,0.7370403092798965,0.7654299904696071,0.7106812504766751,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/002_prototype_dec,34.8,0.040428571509463,0.42005917429924006,0.159644305706024,0.685569107532501,0.263682693243026,0.017283404245972002,0.11629661172628401,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_swav_assignment,3407,003_swav_assignment,original_scmae,False,False,True,False,random,0.7403057832927099,0.7425546070361981,0.673827275055853,0.663073811873645,0.7386830151313403,0.7425546070361981,0.7696807534600282,0.7172754019978264,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/003_swav_assignment,52.6,0.040600781355585,0.5040260553359981,0.18635229766368802,0.674096047878265,0.26589852571487405,0.015067582949995,0.11112093180418,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix,original_scmae,False,False,False,True,random,0.8413472191446931,0.7683800756302017,0.7635006090415684,0.6832917940202065,0.8126973915648469,0.7683800756302017,0.7664153914069024,0.7703548585663702,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix,43.9,0.040586160655532,0.42602330446243203,0.168203100562095,0.6690014600753781,0.262796372175216,0.007090627215802001,,0.40918827056884705,0.0,,,0.40918827092104204,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix_prototype,3407,005_neighbormix_prototype,original_scmae,False,True,False,True,random,0.7369820518502105,0.736753323424434,0.6643980519086078,0.6577169467595494,0.7310606699462661,0.736753323424434,0.7640151256264152,0.7113700187071189,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/005_neighbormix_prototype,48.4,0.040540625048535006,0.43208995461463906,0.147235184907913,0.666295289993286,0.26589852571487405,0.016618657857179,0.11662653833627701,1.0,1.0,,,0.402570352315532,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_nm_a095_w01,original_scmae,False,False,False,True,random,0.7383115444272103,0.7379233839730366,0.6680997640185867,0.6522190315760596,0.7339540483894796,0.7379233839730366,0.768107581941454,0.7100217744764671,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_nm_a095_w01,46.6,0.040586160655532,0.437299966812133,0.16772426664829201,0.679336905479431,0.26168844103813105,0.017283404245972002,,1.0,1.0,,,0.41506758253933,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_nm_multiavg,original_scmae,False,False,False,True,random,0.7380899623310436,0.7375645362739248,0.6650034799772088,0.6563190310253134,0.7314896041987625,0.7375645362739248,0.7667222040521317,0.7105432954122805,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_nm_multiavg,49.2,0.040586160655532,0.39931011199951105,0.142244234681129,0.6528130769729611,0.262574791908264,0.016397075727581003,,0.42097643017768804,0.0,,,0.420976438437107,,,,,,,,,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_nm_score078,original_scmae,False,False,False,True,random,0.7449590073122092,0.7383943321983042,0.6698551303569721,0.6588728122677315,0.7354975545855642,0.7383943321983044,0.7653759734107483,0.713250267729193,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_nm_score078,43.6,0.040586160655532,0.41813424229621804,0.16663725674152302,0.670867562294006,0.26501217484474104,0.016397075727581003,,0.8631352186203001,0.78016459941864,0.34721538424491805,0.411610901839131,0.33565255927321,5.034788608551025,0.0,0.843552410602569,0.7964795827865601,0.8374609351158141,0.891836762428283,0.9785965085029601,0.503478825092315,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_nm_score082,original_scmae,False,False,False,True,random,0.5530689120319078,0.68670788477068,0.5056438155202053,0.5784803761557762,0.627068786217166,0.68670788477068,0.6717297544620123,0.7023692090884457,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_nm_score082,42.1,0.040586160655532,0.409615129232406,0.158229500055313,0.6719398498535151,0.46177709102630604,0.016397075727581003,,0.8865000009536741,0.8200749158859251,0.349039256572723,0.413354014328975,0.24241081320629201,3.636162281036377,0.0,0.8444074988365171,0.7968529462814331,0.8378249406814571,0.892427623271942,0.979355335235595,0.5054439902305601,,,,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_nm_adaptive_mask,original_scmae,True,False,False,True,variance_adaptive,0.703744737425216,0.7048789875202319,0.6269260298930698,0.5753166013759132,0.700498879827845,0.7048789875202319,0.7362571507266813,0.6760660766109075,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_nm_adaptive_mask,41.4,0.041837500142199,0.42384377121925304,0.168699726462364,0.6620079874992371,0.26146686077117903,0.015067582949995,,0.8437649011611931,0.5559507608413691,0.33698245882987904,0.39937957013073305,0.39937957013073305,5.99069356918335,0.0,0.8437649011611931,0.796241819858551,0.8374217748641961,0.89259910583496,0.9769310951232911,0.506130158901214,,,,,,,,,,,,,,
