sort_rank,recommendation_level,recommendation_score,title,source_no,new_pdf_filename,duplicate_note,venue_year,has_pdf,github_url
1,很高,92,ScDiVa: Masked Discrete Diffusion for Joint Modeling of Single-Cell Identity and Expression,1,001_很高_ScDiVa_Masked_Discrete_Diffusion_for_Joint_Modeling_of_Single-Cell_Identity_and_Expression.pdf,,2026 / arXiv / ICML-style preprint,yes,https://github.com/SindiLab/ScDiVa
2,很高,92,MaskFeat: Masked Feature Prediction for Self-Supervised Visual Pre-Training,19,002_很高_MaskFeat_Masked_Feature_Prediction_for_Self-Supervised_Visual_Pre-Training.pdf,,2022 / CVPR,yes,https://github.com/facebookresearch/SlowFast/tree/main/projects/maskfeat
3,很高,92,Improved Techniques for Training Consistency Models,32,003_很高_Improved_Techniques_for_Training_Consistency_Models.pdf,,2024 / ICLR,yes,https://github.com/openai/consistency_models
4,很高,92,JOAO: Automated Data Augmentations for Graph Contrastive Learning,44,004_很高_JOAO_Automated_Data_Augmentations_for_Graph_Contrastive_Learning.pdf,,2021 / ICML,yes,https://github.com/Shen-Lab/GraphCL_Automated
5,很高,92,TabR: Tabular Deep Learning Meets Nearest Neighbors,50,005_很高_TabR_Tabular_Deep_Learning_Meets_Nearest_Neighbors.pdf,,2024 / ICLR,yes,https://github.com/yandex-research/tabular-dl-tabr
6,高,85,scVGAE: ZINB-Based Variational Graph Autoencoder for Single-Cell RNA-Seq Imputation,2,006_高_scVGAE_ZINB-Based_Variational_Graph_Autoencoder_for_Single-Cell_RNA-Seq_Imputation.pdf,,2024 / arXiv,yes,https://github.com/STOmics/scVGAE
7,高,85,DinoBloom: A Foundation Model for Generalizable Cell Embeddings in Hematology,3,007_高_DinoBloom_A_Foundation_Model_for_Generalizable_Cell_Embeddings_in_Hematology.pdf,,2024 / MICCAI / arXiv,yes,https://github.com/marrlab/DinoBloom
8,高,85,scCello: Cell-ontology guided transcriptome foundation model,4,008_高_scCello_Cell-ontology_guided_transcriptome_foundation_model.pdf,,2024 / NeurIPS 2024 / arXiv,yes,https://github.com/DeepGraphLearning/scCello
9,高,85,LangCell: Language-Cell Pre-training for Cell Identity Understanding,5,009_高_LangCell_Language-Cell_Pre-training_for_Cell_Identity_Understanding.pdf,,2024 / arXiv,yes,https://github.com/PharMolix/LangCell
10,高,85,Celler: A Genomic Language Model for Long-Tailed Single-Cell Annotation,6,010_高_Celler_A_Genomic_Language_Model_for_Long-Tailed_Single-Cell_Annotation.pdf,,2025 / arXiv,yes,https://github.com/AI4science-ym/HiCeller
11,高,85,scMamba: Scalable Foundation Model for Single-Cell Multi-Omics Integration,9,011_高_scMamba_Scalable_Foundation_Model_for_Single-Cell_Multi-Omics_Integration.pdf,,2025 / arXiv,yes,https://github.com/23AIBox/scMamba
12,高,85,A Survey on Foundation Language Models for Single-cell Biology,10,012_高_A_Survey_on_Foundation_Language_Models_for_Single-cell_Biology.pdf,,2025 / ACL 2025,yes,
13,高,85,Masked Modeling for Single-cell Clustering of scRNA-seq Data,12,013_高_Masked_Modeling_for_Single-cell_Clustering_of_scRNA-seq_Data.pdf,,2023 / OpenReview,yes,
14,高,85,CICL: scRNA-seq Data Clustering by Cluster-aware Iterative Contrastive Learning,13,014_高_CICL_scRNA-seq_Data_Clustering_by_Cluster-aware_Iterative_Contrastive_Learning.pdf,,2023 / arXiv,yes,https://github.com/Alunethy/CIRCLE
15,高,85,scAGC: Learning Adaptive Cell Graphs with Contrastive Guidance for Single-Cell Clustering,14,015_高_scAGC_Learning_Adaptive_Cell_Graphs_with_Contrastive_Guidance_for_Single-Cell_Clustering.pdf,,2025 / arXiv,yes,
16,高,85,Computational Methods for Single-Cell Multi-Omics Integration and Alignment,15,016_高_Computational_Methods_for_Single-Cell_Multi-Omics_Integration_and_Alignment.pdf,,2022 / Genomics Proteomics Bioinformatics / arXiv,yes,
