dataset,method,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,seed_<lambda>,n_seeds,method_raw
Melanoma_5K,scMAEs_001_scdiva_discrete_diffusion,0.7230223797917128,,1,0.7076814156635473,,1,0.6290086459359925,,1,0.6365034525133729,,1,24.981812238693237,,42,1,001_scdiva_discrete_diffusion
Melanoma_5K,scMAEs_002_maskfeat_gene_features,0.7068468867715488,,1,0.6961772831676827,,1,0.6272879892793993,,1,0.5406015970043233,,1,16.963639974594116,,42,1,002_maskfeat_gene_features
Melanoma_5K,scMAEs_003_consistency_teacher,0.7230223797917128,,1,0.7139911083935246,,1,0.6287003399305646,,1,0.6479708872604776,,1,21.79986023902893,,42,1,003_consistency_teacher
Melanoma_5K,scMAEs_004_joao_graph_aug,0.6554398404608908,,1,0.6216577821565886,,1,0.5444971370929116,,1,0.4033611317401651,,1,22.944220066070557,,42,1,004_joao_graph_aug
Melanoma_5K,scMAEs_005_tabr_retrieval,0.6510081985375582,,1,0.6166258473166872,,1,0.5287709302601145,,1,0.4127824040836743,,1,23.195815086364746,,42,1,005_tabr_retrieval
Melanoma_5K,scMAEs_006_scvgae_zinb_graph,0.6722800797695546,,1,0.6465757747131489,,1,0.5645052232724626,,1,0.5212483403385729,,1,23.078035593032837,,42,1,006_scvgae_zinb_graph
Melanoma_5K,scMAEs_007_dino_self_distill,0.7234655439840461,,1,0.7147388551394223,,1,0.6296572007265895,,1,0.6482259928178924,,1,24.593255043029785,,42,1,007_dino_self_distill
Melanoma_5K,scMAEs_008_cell_hierarchy_proto,0.7524927985818746,,1,0.6766725928238687,,1,0.6525536118427494,,1,0.6083315138415634,,1,17.360965728759766,,42,1,008_cell_hierarchy_proto
Melanoma_5K,scMAEs_010_longtail_prototype,0.7680035453135386,,1,0.6957777521275054,,1,0.6888294812893846,,1,0.5542750543950284,,1,15.414917469024658,,42,1,010_longtail_prototype
Melanoma_5K,scMAEs_011_mamba_gated_sequence,0.7225792155993795,,1,0.7181415191758653,,1,0.6316811525608178,,1,0.6457179524061247,,1,17.002336502075195,,42,1,011_mamba_gated_sequence
Melanoma_5K,scMAEs_013_masked_sc_clustering,0.5497451805894084,,1,0.5984717144784907,,1,0.4194086547585113,,1,0.5470477513464462,,1,19.238580226898193,,42,1,013_masked_sc_clustering
Melanoma_5K,scMAEs_014_cicl_iter_contrast,0.7041879016175493,,1,0.689304922687508,,1,0.5750747980792035,,1,0.6420918089573471,,1,18.349886178970337,,42,1,014_cicl_iter_contrast
Melanoma_5K,scMAEs_015_scagc_adaptive_graph,0.6549966762685575,,1,0.6268988540221702,,1,0.5448766172010258,,1,0.402339157599253,,1,30.361038208007812,,42,1,015_scagc_adaptive_graph
Melanoma_5K,scMAEs_017_interpretable_sparse_gate,0.71992023044538,,1,0.7111329924628207,,1,0.6211061824539846,,1,0.6448643274916255,,1,15.235745191574097,,42,1,017_interpretable_sparse_gate
Melanoma_5K,scMAEs_018_beit_tokenizer,0.7230223797917128,,1,0.7145172791890066,,1,0.6279134850056407,,1,0.6487545818116813,,1,22.66188073158264,,42,1,018_beit_tokenizer
Melanoma_5K,scMAEs_019_data2vec_ema,0.7170396631952138,,1,0.7080262703008061,,1,0.6178759487892689,,1,0.6444109427071762,,1,18.20134425163269,,42,1,019_data2vec_ema
Melanoma_5K,scMAEs_020_multimae_targets,0.7052958120983824,,1,0.6885755150312984,,1,0.6218702255892943,,1,0.5372659624986693,,1,24.485970497131348,,42,1,020_multimae_targets
Melanoma_5K,scMAEs_022_ijepa_latent,0.7059605583868823,,1,0.6965088283581186,,1,0.6165892576619446,,1,0.517447731368813,,1,23.171173572540283,,42,1,022_ijepa_latent
Melanoma_5K,scMAEs_023_maskgit_iterative,0.7276756038112121,,1,0.7195176680086679,,1,0.6396769131554872,,1,0.6496864765333867,,1,26.543601036071777,,42,1,023_maskgit_iterative
Melanoma_5K,scMAEs_026_bgrl_graph_bootstrap,0.6417017504985597,,1,0.6105762947365333,,1,0.5222641189770433,,1,0.3929359615801458,,1,28.29462766647339,,42,1,026_bgrl_graph_bootstrap
Melanoma_5K,scMAEs_027_graph_barlow,0.5360070906270773,,1,0.4567097070283778,,1,0.2800457652649855,,1,0.3110022880045374,,1,26.147911548614502,,42,1,027_graph_barlow
Melanoma_5K,scMAEs_028_graphormer_bias,0.6494571238643918,,1,0.6076758217509611,,1,0.5185316932482489,,1,0.4157290376877116,,1,23.183075428009033,,42,1,028_graphormer_bias
Melanoma_5K,scMAEs_029_fuzzy_clustering,0.7239087081763793,,1,0.6496913143335384,,1,0.5847444264054852,,1,0.620717852163626,,1,18.32275938987732,,42,1,029_fuzzy_clustering
Melanoma_5K,scMAEs_030_fuzzy_rough_boundary,0.7456237536007091,,1,0.6849294246092406,,1,0.6426597592101968,,1,0.5773521680738671,,1,21.685945987701416,,42,1,030_fuzzy_rough_boundary
