stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir,n_rows,n_datasets,mean_ari,mean_nmi,screen_meets_baseline_count,screen_noncollapse_count,effective_screen_candidate,datasets
smoke,suture12_attention_matching_teacher_consistency_full,Melanoma_5K,42,0.7039663195213827,0.6932124548570084,0.6140557043721826,0.5418422114993082,0.735414,0.668029,False,False,0.4166014790534973,0.8407563335549154,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_suture_smoke/suture12_attention_matching_teacher_consistency_full/Melanoma_5K/seed42,,,,,,,,
screen,suture12_attention_matching_teacher_consistency_full,Melanoma_5K,42,0.667848437846222,0.68275172813414,0.5890124348671252,0.5192269158723903,0.735414,0.668029,False,False,1.156013011932373,0.8756481276312874,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_suture_screen/suture12_attention_matching_teacher_consistency_full/Melanoma_5K/seed42,,,,,,,,
screen,suture12_attention_matching_teacher_consistency_full,Quake_10x_Spleen,42,0.5227177554438861,0.5202104242990396,0.30878010897648517,0.42142186208177834,0.85173,0.922275,False,False,1.2556874752044678,0.9894123394751535,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_suture_screen/suture12_attention_matching_teacher_consistency_full/Quake_10x_Spleen/seed42,,,,,,,,
screen,rank01_scdiva_absorbing_diffusion_full,,,,,,,,,,,,,,,3,3,0.3529055470488629,0.5419538531800465,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank02_maskfeat_gene_module_semantic_full,,,,,,,,,,,,,,,3,3,0.34697924741403413,0.5497544769669133,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank03_consistency_ema_robust_full,,,,,,,,,,,,,,,3,3,0.5185232813633646,0.6249803031508013,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank04_joao_mask_policy_full,,,,,,,,,,,,,,,3,3,0.48325436539829986,0.6708556425073465,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank05_tabr_retrieval_context_full,,,,,,,,,,,,,,,2,2,0.5298429530549649,0.6610065530136635,0,2,False,Melanoma_5K;Quake_10x_Spleen
screen,rank06_scvgae_zinb_variational_full,,,,,,,,,,,,,,,3,3,0.44317917726402745,0.6395025656426346,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank07_dinobloom_self_distill_full,,,,,,,,,,,,,,,3,3,0.48133455455540625,0.6440793304544891,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank10_celler_longtail_protection_full,,,,,,,,,,,,,,,2,2,0.4321229751485802,0.5805682518085087,0,2,False,Melanoma_5K;Quake_10x_Spleen
screen,rank11_scmamba_module_sequence_full,,,,,,,,,,,,,,,3,3,0.42519439163548983,0.6064631563119257,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank13_masked_sc_cluster_target_full,,,,,,,,,,,,,,,7,3,0.6730097797049801,0.7359970642980206,1,7,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank14_cicl_cluster_aware_contrast_full,,,,,,,,,,,,,,,3,3,0.38365546894131525,0.5852726166771787,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank15_scagc_adaptive_graph_full,,,,,,,,,,,,,,,2,2,0.5958732563776425,0.5651950928290506,0,2,False,Melanoma_5K;Quake_10x_Spleen
screen,rank18_beit_gene_token_full,,,,,,,,,,,,,,,3,3,0.4720053571694491,0.6487789484245782,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank19_data2vec_latent_teacher_full,,,,,,,,,,,,,,,3,3,0.35913881254087426,0.5882424581589715,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank20_multimae_multitask_gene_full,,,,,,,,,,,,,,,3,3,0.455963471726653,0.6296664148256041,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank21_audiomae_module_patch_full,,,,,,,,,,,,,,,3,3,0.4470756629162023,0.5500554172434029,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank22_ijepa_context_target_full,,,,,,,,,,,,,,,3,3,0.33278539201652446,0.4652011335752873,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank23_maskgit_gene_token_full,,,,,,,,,,,,,,,3,3,0.28789299361306897,0.3750274108193394,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank24_flow_matching_latent_denoise_full,,,,,,,,,,,,,,,3,3,0.37207840873625786,0.5692481166185034,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank25_anomaly_association_boundary_full,,,,,,,,,,,,,,,3,3,0.47342752937968546,0.5433031052331424,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank26_bgrl_graph_bootstrap_full,,,,,,,,,,,,,,,3,3,0.4022204759304941,0.5928538676187283,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank27_graph_barlow_twins_full,,,,,,,,,,,,,,,3,3,0.3246383962139779,0.47615853545050846,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank28_graphormer_structural_bias_full,,,,,,,,,,,,,,,3,3,0.434106384974541,0.6099015590797247,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank29_deep_adaptive_fuzzy_clustering_full,,,,,,,,,,,,,,,3,3,0.42491477601780997,0.5411565409534781,1,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank30_fuzzy_rough_quantification_full,,,,,,,,,,,,,,,3,3,0.27458568298915703,0.4442675081705967,0,2,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank33_ibot_online_tokenizer_full,,,,,,,,,,,,,,,3,3,0.308243107266267,0.5133634490304017,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank34_masked_siamese_proto_full,,,,,,,,,,,,,,,3,3,0.303766419931009,0.4858885623100984,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank35_videomae_gene_module_full,,,,,,,,,,,,,,,2,2,0.48291852431047566,0.5862643465821582,0,2,False,Melanoma_5K;Quake_10x_Spleen
screen,rank36_dinov2_koleo_teacher_full,,,,,,,,,,,,,,,3,3,0.28334724934208616,0.4749161905762103,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank38_latent_diffusion_denoise_full,,,,,,,,,,,,,,,3,3,0.37207840873625786,0.5692481166185034,0,3,False,Macosko;Melanoma_5K;Quake_10x_Spleen
screen,rank39_ts2vec_gene_module_full,,,,,,,,,,,,,,,1,1,0.5186187062745936,0.6550558545671562,0,1,False,Melanoma_5K
