dataset,method,seed,rank,source_paper,mask_semantics,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,run_dir,source_manifest_method,source_manifest_paper,summary_rank,num_encoded_tokens,grid_h,grid_w,patch_h,patch_w
Melanoma_5K,rank02_maskfeat_gene_features_full,42,2,MaskFeat,1 = masked gene patch predicted through feature target,0.4037225792155994,0.3671499754298526,0.2518415204107094,0.3410467292913641,0.3817971287815083,0.3671499754298526,0.406149709984803,0.3349838079567579,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank02_maskfeat_gene_features_full,MaskFeat_scMAE,MaskFeat: Masked Feature Prediction for Self-Supervised Visual Pre-Training,2,,,,,
Melanoma_5K,rank01_scdiva_discrete_diffusion_full,42,1,ScDiVa,,0.6572124972302238,0.6044490118852176,0.5302504953381112,0.5039316491466274,0.620258850515683,0.6044490118852177,0.6504902902289097,0.5644944621469941,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank01_scdiva_discrete_diffusion_full,ScDiVa_scMAE,ScDiVa: Masked Discrete Diffusion for Joint Modeling of Single-Cell Identity and Expression,1,,,,,
Melanoma_5K,rank03_consistency_models_full,42,3,Improved Consistency Models,1 = expression gene corrupted by masked Gaussian sigma noise,0.6188787945933969,0.6530050205657075,0.5254318966224818,0.5066494136301741,0.6164566225212581,0.6530050205657075,0.7108865094748922,0.6038394687542851,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank03_consistency_models_full,ConsistencyModels_scMAE,Improved Techniques for Training Consistency Models,3,,,,,
Melanoma_5K,rank04_joao_graphcl_full,42,4,JOAO,1 = expression gene masked in scMAE reconstruction branch,0.6128960779968978,0.5814851903727764,0.4737405591253031,0.4819783755478141,0.5731016545580331,0.5814851903727764,0.6283663473876107,0.5411137734716639,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank04_joao_graphcl_full,JOAO_GraphCL_scMAE,JOAO: Automated Data Augmentations for Graph Contrastive Learning,4,,,,,
Melanoma_5K,rank05_tabr_retrieval_full,42,5,TabR,1 = expression gene masked before retrieval-augmented reconstruction,0.6997562596942167,0.6765399686003916,0.5692824763380039,0.6330845217736071,0.6544920041992063,0.6765399686003916,0.7015013917966547,0.6532939054614467,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank05_tabr_retrieval_full,TabR_Retrieval_scMAE,TabR: Tabular Deep Learning Meets Nearest Neighbors,5,,,,,
Melanoma_5K,rank06_scvgae_zinb_graph_full,42,6,scVGAE,1 = expression gene replaced for masked reconstruction branch,0.5825393308220695,0.5808438424777226,0.4251445972523187,0.4562584187835261,0.5337647120558946,0.5808438424777225,0.6233176354699002,0.5437892333741374,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank06_scvgae_zinb_graph_full,scVGAE_ZINB_Graph_scMAE,scVGAE: ZINB-Based Variational Graph Autoencoder for Single-Cell RNA-Seq Imputation,6,,,,,
Melanoma_5K,rank10_celler_longtail_full,42,10,Celler,1 = expression gene replaced for masked reconstruction branch,0.6288499889208952,0.6886491840330817,0.5647270392143773,0.5158310821040257,0.6498819081479315,0.6886491840330817,0.7532514585782925,0.6342527781105544,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank10_celler_longtail_full,Celler_LongTail_scMAE,Celler: A Genomic Language Model for Long-Tailed Single-Cell Annotation,10,,,,,
Melanoma_5K,rank11_scmamba_ssm_full,42,11,scMamba,1 = gene belongs to a masked patch replaced by the learned SSM mask token,0.4810547307777532,0.4140056717503611,0.2830585046879166,0.3890790694198124,0.4246401013377114,0.4140056717503611,0.4268526620110521,0.4019093992030255,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank11_scmamba_ssm_full,rank11_scmamba_ssm_full,scMamba,11,,,,,
Melanoma_5K,rank13_masked_sc_clustering_full,42,13,Masked Modeling for Single-cell Clustering of scRNA-seq Data,1 = expression matrix patch removed from encoder and predicted by sequence-guided decoder,0.5962774207844006,0.6227907985809473,0.4966776509297924,0.4537280001787369,0.5924864315882896,0.6227907985809472,0.6859201099404028,0.570302467213982,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank13_masked_sc_clustering_full,rank13_masked_sc_clustering_full,Masked Modeling for Single-cell Clustering of scRNA-seq Data,13,,,,,
Melanoma_5K,rank14_cicl_iter_contrast_full,42,14,CICL,1 = expression gene replaced for the auxiliary scMAE reconstruction branch,0.5100819853755817,0.5022444539189695,0.370996529705875,0.3737836719179758,0.4844456457382483,0.5022444539189694,0.5649012965871895,0.4520992167501478,9,,fixed,kmeans_known_k,True,methods/DeepLearning/scMAEs/independent_runs/screen/Melanoma_5K/rank14_cicl_iter_contrast_full,rank14_cicl_iter_contrast_full,CICL: scRNA-seq Data Clustering by Cluster-aware Iterative Contrastive Learning,14,,,,,
