method,filename,paper_title,authors_year,venue,source_type,source_url,pages,file_size_bytes,note
DEC,01_DEC_Xie_2016_Unsupervised_Deep_Embedding_for_Clustering_Analysis.pdf,Unsupervised Deep Embedding for Clustering Analysis,"Xie, Girshick & Farhadi, 2016",ICML / PMLR,Publisher/proceedings PDF,https://proceedings.mlr.press/v48/xieb16.pdf,10,1266199,Original DEC algorithm paper.
DESC,02_DESC_Li_2020_Deep_learning_enables_accurate_clustering_with_batch_effect_removal.pdf,Deep learning enables accurate clustering with batch effect removal in single-cell RNA-seq analysis,"Li et al., 2020",Nature Communications,Publisher PDF,https://www.nature.com/articles/s41467-020-15851-3.pdf,14,11971270,DESC model paper.
scDeepCluster,03_scDeepCluster_Tian_2019_Clustering_single_cell_RNA_seq_with_model_based_deep_learning.pdf,Clustering single-cell RNA-seq data with a model-based deep learning approach,"Tian, Wan, Song & Wei, 2019",Nature Machine Intelligence,Public PDF copy,https://web.njit.edu/~zhiwei/CS732/scDeepCluster.pdf,8,6188047,Public copy used; publisher-hosted PDF may require access.
scNAME,04_scNAME_Wan_2022_Neighborhood_contrastive_clustering_with_ancillary_mask_estimation.pdf,scNAME: neighborhood contrastive clustering with ancillary mask estimation for scRNA-seq data,"Wan, Chen & Deng, 2022",Bioinformatics,Publisher PDF,https://academic.oup.com/bioinformatics/article-pdf/38/6/1575/49009815/btac011.pdf,9,908109,scNAME model paper.
scMAE,05_scMAE_Fang_2024_Masked_autoencoder_for_single_cell_RNA_seq_clustering.pdf,scMAE: a masked autoencoder for single-cell RNA-seq clustering,"Fang, Zheng & Li, 2024",Bioinformatics,Publisher PDF,https://academic.oup.com/bioinformatics/article-pdf/40/1/btae020/56530641/btae020.pdf,10,7727486,scMAE model paper.
scDCC,06_scDCC_Tian_2021_Model_based_deep_embedding_for_constrained_clustering.pdf,Model-based deep embedding for constrained clustering analysis of single cell RNA-seq data,"Tian et al., 2021",Nature Communications,Publisher PDF,https://www.nature.com/articles/s41467-021-22008-3.pdf,12,7649805,scDCC model paper.
scziDesk,07_scziDesk_Chen_2020_Deep_soft_K_means_clustering_with_self_training.pdf,Deep soft K-means clustering with self-training for single-cell RNA sequence data,"Chen, Wang, Zhai & Deng, 2020",NAR Genomics and Bioinformatics,Publisher PDF,https://academic.oup.com/nargab/article-pdf/2/2/lqaa039/34054329/lqaa039.pdf,20,15903616,scziDesk model paper.
scGNN,08_scGNN_Wang_2021_Novel_graph_neural_network_framework_for_scRNA_seq.pdf,scGNN is a novel graph neural network framework for single-cell RNA-Seq analyses,"Wang et al., 2021",Nature Communications,Publisher PDF,https://www.nature.com/articles/s41467-021-22197-x.pdf,11,4817582,scGNN model paper.
scDSC,09_scDSC_Gan_2022_Deep_structural_clustering_AE_GNN.pdf,Deep structural clustering for single-cell RNA-seq data jointly through autoencoder and graph neural network,"Gan et al., 2022",Briefings in Bioinformatics,Publisher PDF,https://academic.oup.com/bib/article-pdf/23/2/bbac018/42805305/bbac018.pdf,13,1307055,scDSC model paper.
AttentionAE-sc,10_AttentionAE_sc_Li_2023_Attention_based_deep_clustering_method.pdf,Attention-based deep clustering method for scRNA-seq cell type identification,"Li et al., 2023",PLOS Computational Biology,Publisher PDF,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1011641&type=printable,19,2891296,AttentionAE-sc model paper.
scCDCG,11_scCDCG_Xu_2024_Deep_Cut_Informed_Graph_Embedding.pdf,scCDCG: Efficient Deep Structural Clustering for Single-Cell RNA-Seq via Deep Cut-Informed Graph Embedding,"Xu et al., 2024",DASFAA / arXiv version,Public arXiv/alphaXiv PDF,https://pdfs.assets.alphaxiv.org/2404.06167v2.pdf,17,4950458,Springer DASFAA chapter page may be restricted; public arXiv v2 PDF used.
SC3,12_SC3_Kiselev_2017_Consensus_clustering_of_single_cell_RNA_seq.pdf,SC3: consensus clustering of single-cell RNA-seq data,"Kiselev et al., 2017",Nature Methods,Institutional repository PDF,https://eprints.gla.ac.uk/141804/1/141804.pdf,26,1348546,Repository version; publisher Nature Methods PDF may require access.
Louvain,13_Louvain_Blondel_2008_Fast_unfolding_of_communities_in_large_networks.pdf,Fast unfolding of communities in large networks,"Blondel et al., 2008",Journal of Statistical Mechanics / arXiv,arXiv PDF,https://arxiv.org/pdf/0803.0476,12,1594808,Original Louvain community-detection algorithm paper.
Leiden,14_Leiden_Traag_2019_From_Louvain_to_Leiden.pdf,From Louvain to Leiden: guaranteeing well-connected communities,"Traag, Waltman & van Eck, 2019",Scientific Reports,Author-hosted PDF,https://www.traag.net/wp/wp-content/papercite-data/pdf/traag_leiden_algo_2018.pdf,25,1029078,Original Leiden algorithm paper; public author-hosted version.
Seurat reference for Louvain/Leiden in scCluBench,15_Seurat_Stuart_2019_Comprehensive_integration_of_single_cell_data_PREPRINT.pdf,Comprehensive integration of single cell data,"Stuart et al., 2018 preprint / 2019 Cell version",bioRxiv preprint / later Cell,Public preprint PDF copy,https://mit6874.github.io/assets/scRNA-integration.pdf,24,20265739,"Included because scCluBench Table 1 cites Stuart et al. 2019 for Louvain and Leiden under Seurat; this is a public preprint copy, not the final Cell PDF."
